OF_ORDEN,OF_LOTE,OF_CANTIDAD_ENTREGADA,CF_ORDEN_EN_EL_ENCADENADO,CF_LOTE_PARENTAL,CF_ID_BIOREACTOR,CF_FECHA/HORA_INICIO,CF_FECHA/HORA_FIN,CF_VOLUMEN_DE_INOCULO_UTILIZADO,CF_TURBIDEZ_INICIO_CULTIVO,CF_TURBIDEZ_FIN_CULTIVO,CF_VIABILIDAD_FINAL_CULTIVO,CF_ID_CENTRIFUGA,CF_CENTRIFUGACION_1_TURBIDEZ,CF_CENTRIFUGACION_2_TURBIDEZ,CF_PRODUCTO_1,CF_PRODUCTO_2,P_FECHA/HORA_INICIO,P_FECHA/HORA_FIN,P_PH_MAS_BAJO_1,P_PH_MAS_BAJO_2,P_TURBIDEZ_PH_BAJO_1,P_TURBIDEZ_PH_BAJO_2,I_ID_BIOREACTOR_y,I_FECHA/HORA_INICIO,I_FECHA/HORA_FIN,I_VOLUMEN_DE_CULTIVO,I_TURBIDEZ_INICIO_CULTIVO,I_TURBIDEZ_FINAL_CULTIVO,I_VIABILIDAD_FINAL_CULTIVO
200188844,23073,13.9,1,,13169,2023-07-31 9:15:00,2023-08-02 10:00:00,82.4,17.76,71.52,160000000,14246,30.16,26.4,1756.56,6.56,2023-07-29 5:00:00,2023-07-30 7:10:00,5.504,5.52,34.24,31.04,13171,2023-07-30 7:10:00,2023-07-31 9:15:00,168,15.36,29.84,111200000
200188846,23075,13.9,1,,14616,2023-07-31 9:15:00,2023-08-02 10:15:00,82.8,17.84,70.64,148800000,17825,30.8,20.56,1985.44,6.48,2023-07-29 5:00:00,2023-07-31 7:15:00,5.464,,42.56,,13171,2023-07-30 7:10:00,2023-07-31 9:15:00,168,15.36,29.84,111200000
200188847,23076,13.8,1,,13170,2023-08-01 7:00:00,2023-08-03 7:25:00,84.16,17.92,77.2,176000000,17825,30.88,26.4,1670.464,8.08,2023-07-30 5:00:00,2023-07-31 7:00:00,5.376,,34.88,,14618,2023-07-31 7:00:00,2023-08-01 7:00:00,84.16,14.16,25.36,92000000
200188848,23077,13.7,1,,13170,2023-09-04 12:00:00,2023-09-06 12:00:00,78.4,26.24,70.96,157600000,14246,30,20.72,2151.536,9.12,2023-09-02 5:00:00,2023-09-03 7:45:00,5.424,5.44,30.96,32.16,13171,2023-09-03 7:45:00,2023-09-04 12:00:00,160.16,18.24,26.56,83200000
200188849,23078,13.7,1,,14614,2023-09-04 8:00:00,2023-09-06 9:30:00,80,18,73.2,147200000,17825,31.76,20.8,1470.528,5.2,2023-09-02 5:00:00,2023-09-03 7:45:00,5.424,5.44,30.96,32.16,13171,2023-09-03 7:45:00,2023-09-04 8:00:00,160.16,18.24,26.56,83200000
200188850,23079,13.8,1,,14615,2023-09-05 8:30:00,2023-09-07 9:00:00,82,18.64,84.8,145600000,14246,31.76,31.68,2045.864,7.12,2023-09-03 5:00:00,2023-09-04 7:45:00,5.312,5.424,50.64,27.68,13172,2023-09-04 7:45:00,2023-09-05 8:00:00,164,14.56,28.16,92800000
200188851,23080,13.7,1,,14616,2023-09-05 8:30:00,2023-09-07 8:30:00,80.8,18.8,83.2,129600000,17825,22.64,22.8,1758.168,7.84,2023-09-03 5:00:00,2023-09-04 7:45:00,5.312,5.424,50.64,27.68,13172,2023-09-04 7:45:00,2023-09-05 8:00:00,164,14.56,28.16,92800000
200191079,23082,13.7,1,,14616,2023-09-13 7:15:00,2023-09-15 13:00:00,82,16.32,67.68,155200000,14246,30.16,21.12,1821.016,6.16,2023-09-10 5:00:00,2023-09-11 8:00:00,5.496,5.504,28.4,28,13171,2023-09-11 8:00:00,2023-09-12 8:00:00,166.4,14.64,24.48,79840000
200191080,23083,13.6,1,,14617,2023-09-12 8:00:00,2023-09-14 8:25:00,82.8,16.96,54.16,70400000,17825,142.4,156.96,1640.608,5.52,2023-09-11 5:00:00,2023-09-12 7:45:00,5.424,5.448,29.2,30.48,13172,2023-09-12 7:45:00,2023-09-13 7:15:00,167.2,14.72,28.4,91200000
200191081,23084,13.8,1,,13169,2023-09-12 8:00:00,2023-09-14 10:00:00,81.6,17.44,83.2,140000000,14246,168.8,151.76,2132.976,7.84,2023-09-11 5:00:00,2023-09-12 7:45:00,5.424,5.448,29.2,30.48,13172,2023-09-12 7:45:00,2023-09-13 7:15:00,167.2,14.72,28.4,91200000
200191078,23081,13.8,1,,14615,2023-09-13 7:15:00,2023-09-15 10:00:00,82.8,18.24,49.36,104000000,17825,28.96,15.36,1262.928,3.44,2023-09-10 5:00:00,2023-09-11 8:00:00,5.496,5.504,28.4,28,13171,2023-09-11 8:00:00,2023-09-12 8:00:00,166.4,14.64,24.48,79840000
200191082,23085,13.9,1,,13170,2023-09-25 8:15:00,2023-09-27 9:45:00,84,16.32,64.8,158400000,14246,28.72,17.68,1662.92,4.48,2023-09-23 5:00:00,2023-09-24 8:15:00,5.208,5.464,28.48,30.32,13171,2023-09-24 8:15:00,2023-09-25 8:15:00,160,15.44,29.44,100000000
200191083,23086,14,1,,14614,2023-09-25 8:15:00,2023-09-27 10:20:00,83.2,16.16,64.24,124000000,17825,30.4,22.24,1533.04,4.16,2023-09-23 5:00:00,2023-09-24 8:15:00,5.208,5.464,28.48,30.32,13171,2023-09-24 8:15:00,2023-09-25 8:15:00,160,15.44,29.44,100000000
200191084,23087,13.8,1,,14617,2023-09-26 9:30:00,2023-09-28 10:30:00,81.2,18.32,70.56,131200000,14246,36.64,44,1096.584,4.64,2023-09-24 5:00:00,2023-09-25 7:30:00,5.456,5.48,31.84,29.68,14618,2023-09-25 7:30:00,2023-09-26 9:30:00,160,15.04,27.44,82480000
200191085,23088,13.7,1,,14616,2023-09-26 9:30:00,2023-09-28 11:15:00,80.8,18.96,77.84,158400000,17825,31.68,21.68,2150.576,6.08,2023-09-24 5:00:00,2023-09-25 7:30:00,5.456,5.48,31.84,29.68,14618,2023-09-25 7:30:00,2023-09-26 9:30:00,160,15.04,27.44,82480000
200191086,23089,13.7,1,,13169,2023-10-02 8:30:00,2023-10-04 8:30:00,82.4,18.32,63.04,145600000,17825,30.4,17.84,1710.408,5.44,2023-09-30 0:30:00,2023-10-01 8:30:00,5.36,5.392,37.12,49.44,14618,2023-10-01 8:30:00,2023-10-02 8:30:00,160,16.8,26.56,86400000
200191087,23090,13.7,1,,14614,2023-10-02 8:30:00,2023-10-04 10:00:00,81.6,17.68,60.08,140800000,12912,26.96,13.2,1264.96,5.36,2023-09-30 0:30:00,2023-10-01 8:30:00,5.36,5.392,37.12,49.44,14618,2023-10-01 8:30:00,2023-10-02 8:30:00,160,16.8,26.56,86400000
200191088,23091,13.8,1,,14615,2023-10-03 8:30:00,2023-10-05 9:30:00,82,14.56,65.12,126400000,14246,24.64,31.92,1491.48,5.52,2023-10-01 0:30:00,2023-10-02 7:30:00,5.472,5.512,32.72,37.76,13172,2023-10-02 7:30:00,2023-10-03 8:30:00,160,15.44,25.6,96000000
200191385,23092,13.8,1,,14616,2023-10-03 8:30:00,2023-10-05 10:45:00,82,18.56,74.4,161600000,17825,26.32,27.12,1439.848,8.24,2023-10-01 0:30:00,2023-10-02 7:30:00,5.472,5.512,32.72,37.76,13172,2023-10-02 7:30:00,2023-10-03 8:30:00,160,15.44,25.6,96000000
200191090,23093,13.7,2,23085,13170,2023-09-27 13:00:00,2023-09-29 13:00:00,80,21.84,71.36,182000000,14246,28.8,20,1792.072,6.4,,,,,,,,,,,,,
200191386,23094,13.7,1,,14614,2023-10-09 13:15:00,2023-10-11 13:00:00,81.2,18.08,42.8,100000000,17825,22.4,10.08,1373.296,4.8,2023-10-07 0:30:00,2023-10-08 8:00:00,5.392,5.408,34.48,36.16,13172,2023-10-08 8:00:00,2023-10-09 13:15:00,160,21.52,23.36,94400000
200191387,23095,13.7,1,,13169,2023-10-09 13:15:00,2023-10-11 13:00:00,81.2,13.36,44.32,119200000,12912,21.52,10.4,988.096,5.36,2023-10-07 0:30:00,2023-10-08 8:00:00,5.392,5.408,34.48,36.16,13172,2023-10-08 8:00:00,2023-10-09 13:15:00,160,21.52,23.36,94400000
200191388,23096,13.3,1,,14617,2023-10-17 9:00:00,2023-10-19 11:30:00,80.8,15.12,64.64,117600000,14246,25.28,18.64,1446.712,5.84,2023-10-15 0:30:00,2023-10-16 7:30:00,5.44,5.472,32.4,31.92,13172,2023-10-16 7:30:00,2023-10-17 9:00:00,160,16.64,28.48,91200000
200191389,23097,13.5,1,,14616,2023-10-17 9:00:00,2023-10-19 9:30:00,81.6,18.72,68.72,119200000,12912,28.08,20.56,1831.848,5.76,2023-10-15 0:30:00,2023-10-16 7:30:00,5.352,,34.08,,14618,2023-10-16 7:30:00,2023-10-17 9:00:00,80,17.28,30.8,89600000
200191390,23098,13.8,1,,14615,2023-10-17 9:00:00,2023-10-19 9:30:00,80.8,16.56,81.04,101600000,17825,30.16,15.36,1470.24,7.44,2023-10-15 0:30:00,2023-10-16 7:30:00,5.44,5.472,32.4,31.92,13172,2023-10-16 7:30:00,2023-10-17 9:00:00,160,16.64,28.48,91200000
200191391,23099,13.8,1,,13169,2023-10-23 10:00:00,2023-10-25 9:00:00,82.4,21.76,73.36,115200000,12912,33.6,22.24,1310.336,5.92,2023-10-21 0:30:00,2023-10-22 9:30:00,5.512,5.52,31.04,29.2,13172,2023-10-22 9:30:00,2023-10-23 10:00:00,160,16.8,30,81600000
200191392,23100,13.7,1,,14614,2023-10-23 10:00:00,2023-10-25 10:00:00,82,22,74.48,144000000,17825,33.44,17.84,1268.128,4.96,2023-10-21 0:30:00,2023-10-22 9:30:00,5.512,5.52,31.04,29.2,13172,2023-10-22 9:30:00,2023-10-23 10:00:00,160,16.8,30,81600000
200191393,23101,13.6,1,,14615,2023-10-24 7:00:00,2023-10-26 8:30:00,80.4,17.84,68.88,188000000,14246,27.84,19.84,1332.296,7.44,2023-10-22 0:30:00,2023-10-23 7:20:00,5.384,5.464,31.84,31.04,14618,2023-10-23 7:20:00,2023-10-24 7:00:00,160,14.96,23.28,82400000
200191394,23102,13.6,1,,14616,2023-10-24 7:00:00,2023-10-26 8:00:00,81.2,19.36,79.36,200000000,17825,30.96,19.52,1236.704,6.16,2023-10-22 0:30:00,2023-10-23 7:20:00,5.384,5.464,31.84,31.04,14618,2023-10-23 7:20:00,2023-10-24 7:00:00,160,14.96,23.28,82400000
200191395,23103,13.6,1,,14616,2023-10-31 10:00:00,2023-11-02 9:45:00,80.4,17.04,76.08,180000000,14246,30.4,27.36,1668.96,6.16,2023-10-29 0:30:00,2023-10-30 9:00:00,5.296,5.36,33.12,32.08,14618,2023-10-30 9:00:00,2023-10-31 10:00:00,160,15.12,23.52,83200000
200191398,23106,13.7,2,23099,13169,2023-10-25 12:30:00,2023-10-27 9:30:00,,20.8,70.24,184000000,14246,27.68,26.32,1351.592,6.72,,,,,,,,,,,,,
200191399,23107,13.7,2,23100,14614,2023-10-25 13:30:00,2023-10-27 11:30:00,,23.2,71.28,163200000,17825,30.88,23.92,1965.896,7.76,,,,,,,,,,,,,
200191396,23105,13.7,1,,14614,2023-10-31 10:00:00,2023-11-02 10:00:00,82.4,14.88,84,156800000,17825,30.48,27.84,1855.352,8.64,2023-10-29 0:30:00,2023-10-30 9:00:00,5.296,5.36,33.12,32.08,14618,2023-10-30 9:00:00,2023-10-31 10:00:00,160,15.12,23.52,83200000
200191397,23104,13.5,1,,14615,2023-10-31 9:15:00,2023-11-02 9:45:00,80,16.4,81.6,180800000,12912,28.72,23.68,2112.984,6.96,2023-10-29 0:30:00,2023-10-30 9:45:00,5.336,5.376,36.08,32.16,13172,2023-10-30 9:45:00,2023-10-31 9:15:00,80,16.16,27.76,90400000
