IPC_I_LOTE,IPC_I_FECHA,IPC_I_TURBIDEZ,IPC_I_VIABILIDAD,IPC_I_FECHA_APROX,IPC_I_TH_07781_TI1501.PV,IPC_I_TH_07781_MI1501.PV
23033,2023-04-25 07:30:00,20.9,76506666,2023-04-25 07:30:00,20.26186371,52.29027309
23033,2023-04-25 08:30:00,21.2,95093333,2023-04-25 08:30:00,20.33058453,52.23524094
23033,2023-04-25 11:00:00,22.8,93600000,2023-04-25 11:00:00,20.05750847,53.3311615
23033,2023-04-25 12:15:00,24.2,103733333,2023-04-25 12:15:00,20.4463253,53.50115681
23034,2023-04-24 14:00:00,17,7506666,2023-04-24 14:00:00,19.93272591,55.60257339
23034,2023-04-24 18:00:00,17,12960000,2023-04-24 18:00:00,19.93453407,57.89588936
23034,2023-04-25 07:30:00,20.9,76506666,2023-04-25 07:30:00,20.26186371,52.29027309
23034,2023-04-25 08:30:00,21.2,95093333,2023-04-25 08:30:00,20.33058453,52.23524094
23034,2023-04-25 11:00:00,22.8,93600000,2023-04-25 11:00:00,20.05750847,53.3311615
23034,2023-04-25 12:15:00,24.2,103733333,2023-04-25 12:15:00,20.4463253,53.50115681
23035,2023-04-24 07:30:00,18,6133333,2023-04-24 07:30:00,20.26909733,51.61925095
23035,2023-04-24 11:30:00,18.1,11173333,2023-04-24 11:30:00,19.93272591,52.82841301
23035,2023-04-24 15:30:00,18.9,12933333,2023-04-24 15:30:00,19.96798992,52.48480797
23035,2023-04-24 19:30:00,19.9,19893333,2023-04-24 19:30:00,20.20670605,50.74283292
23035,2023-04-25 06:00:00,24.8,70106666,2023-04-25 06:00:00,20.00144577,51.68185806
23035,2023-04-25 07:30:00,26.2,81253333,2023-04-25 07:30:00,20.26186371,52.29027309
23036,2023-05-14 08:00:00,14.2,5186666,2023-05-14 08:00:00,20.40834808,53.29861069
23036,2023-05-15 06:30:00,16.4,56693333,2023-05-15 06:30:00,20.00144672,52.62586784
23036,2023-05-15 09:00:00,16.5,55653333,2023-05-15 09:00:00,19.90740776,53.98220444
23036,2023-05-15 10:45:00,16.4,52613333,2023-05-15 10:45:00,19.84772825,53.71455383
23036,2023-05-15 12:00:00,15.9,52933333,2023-05-15 12:00:00,20.00144577,52.76330948
23036,2023-05-15 16:00:00,17.8,34880000,2023-05-15 16:00:00,20.40653992,51.00188065
23036,2023-05-15 20:00:00,19,29466666,2023-05-15 20:00:00,20.54398155,50.47285292
23036,2023-05-16 06:30:00,21.2,70266666,2023-05-16 06:30:00,20.17234516,50.6582756
23036,2023-05-16 07:50:00,22,54880000,2023-05-16 07:45:00,20.12125683,50.32642365
23036,2023-05-16 12:00:00,22.2,76000000,2023-05-16 12:00:00,20.47887611,50.86805344
23038,2023-05-08 13:20:00,17,5064000,2023-05-08 13:15:00,20.25824594,51.86722374
23038,2023-05-09 06:30:00,19.3,10960000,2023-05-09 06:30:00,20.27361774,51.21977081
23038,2023-05-09 10:30:00,19.2,9680000,2023-05-09 10:30:00,20.21409805,52.2931118
23038,2023-05-09 12:45:00,20.3,10346666,2023-05-09 12:45:00,20.37624741,52.30235476
23038,2023-05-09 18:00:00,21,8720000,2023-05-09 18:00:00,19.93634224,53.57349396
23038,2023-05-09 21:00:00,21.2,9493333,2023-05-09 21:00:00,20.07119499,53.43967056
23038,2023-05-10 06:30:00,22.5,10746666,2023-05-10 06:30:00,20.13708019,53.77061462
23039,2023-05-08 13:20:00,17,5064000,2023-05-08 13:15:00,20.25824594,51.86722374
23039,2023-05-09 06:30:00,19.3,10960000,2023-05-09 06:30:00,20.27361774,51.21977081
23039,2023-05-09 10:30:00,19.2,9680000,2023-05-09 10:30:00,20.21409805,52.2931118
23039,2023-05-09 12:45:00,20.3,10346666,2023-05-09 12:45:00,20.37624741,52.30235476
23039,2023-05-09 18:00:00,21,8720000,2023-05-09 18:00:00,19.93634224,53.57349396
23039,2023-05-09 21:00:00,21.2,9493333,2023-05-09 21:00:00,20.07119499,53.43967056
23039,2023-05-10 06:30:00,22.5,10746666,2023-05-10 06:30:00,20.13708019,53.77061462
23040,2023-05-29 07:45:00,13.9,4296000,2023-05-29 07:45:00,20.32613516,53.44328594
23040,2023-05-29 11:30:00,13.9,7570666,2023-05-29 11:30:00,20.19050121,52.52193434
23040,2023-05-29 16:00:00,14.9,14693333,2023-05-29 16:00:00,20.15885353,52.19907379
23040,2023-05-29 20:00:00,15.7,19306666,2023-05-29 20:00:00,20.56032944,52.734375
23040,2023-05-30 06:30:00,24.5,107200000,2023-05-30 06:30:00,20.35778332,52.59693336
23040,2023-05-30 10:30:00,29.3,165600000,2023-05-30 10:30:00,20.31890202,53.0128746
23040,2023-05-30 11:45:00,32.3,154666666,2023-05-30 11:45:00,20.15523672,53.07888508
23041,2023-05-29 07:45:00,13.9,4296000,2023-05-29 07:45:00,20.32613516,53.44328594
23041,2023-05-29 11:30:00,13.9,7570666,2023-05-29 11:30:00,20.19050121,52.52193434
23041,2023-05-29 16:00:00,14.9,14693333,2023-05-29 16:00:00,20.15885353,52.19907379
23041,2023-05-29 20:00:00,15.7,19306666,2023-05-29 20:00:00,20.56032944,52.734375
23041,2023-05-30 06:30:00,24.5,107200000,2023-05-30 06:30:00,20.35778332,52.59693336
23041,2023-05-30 10:30:00,29.3,165600000,2023-05-30 10:30:00,20.31890202,53.0128746
23041,2023-05-30 11:45:00,32.3,154666666,2023-05-30 11:45:00,20.15523672,53.07888508
23042,2023-05-30 08:00:00,14.3,4917333,2023-05-30 08:00:00,20.29629517,53.14670181
23042,2023-05-30 12:00:00,14.3,9786666,2023-05-30 12:00:00,20.08651543,53.14308548
23042,2023-05-30 16:00:00,15.5,11493333,2023-05-30 16:00:00,20.49160767,52.90436935
23042,2023-05-30 20:00:00,16.7,21360000,2023-05-30 20:00:00,20.3614006,51.99277575
23042,2023-05-31 06:30:00,24.6,109066666,2023-05-31 06:30:00,20.39214325,53.88454819
23043,2023-06-05 08:15:00,16.1,4741333,2023-06-05 08:15:00,20.42650414,51.05070877
23043,2023-06-05 12:15:00,16.4,7160000,2023-06-05 12:15:00,20.3573308,51.92944183
23043,2023-06-05 16:15:00,16.5,9840000,2023-06-05 16:15:00,20.42831278,51.25506306
23043,2023-06-05 20:15:00,18.3,12426666,2023-06-05 20:15:00,20.44413662,49.8661747
23043,2023-06-06 06:00:00,23.8,44586666,2023-06-06 06:00:00,20.49884224,52.32928085
23043,2023-06-06 07:40:00,24.2,51946666,2023-06-06 07:45:00,20.27459383,51.33250586
23043,2023-06-06 09:00:00,23.6,54880000,2023-06-06 09:00:00,20.15885353,51.92419052
23043,2023-06-06 10:00:00,24.8,59200000,2023-06-06 10:00:00,20.3614006,51.92419052
23043,2023-06-06 11:30:00,25.2,76853333,2023-06-06 11:30:00,20.35416698,53.83210373
23043,2023-06-06 13:00:00,27.2,79280000,2023-06-06 13:00:00,20.15885353,52.60416412
23043,2023-06-06 15:00:00,29.1,73653333,2023-06-06 15:00:00,20.29629517,49.89872742
23043,2023-06-06 17:00:00,31.4,79493333,2023-06-06 17:00:00,20.3614006,51.79397964
23044,2023-06-05 08:15:00,14.5,7112000,2023-06-05 08:15:00,20.42650414,51.05070877
23044,2023-06-05 12:15:00,14.7,104533333,2023-06-05 12:15:00,20.3573308,51.92944183
23044,2023-06-05 16:15:00,15.5,14506666,2023-06-05 16:15:00,20.42831278,51.25506306
23044,2023-06-05 20:15:00,16.2,18693333,2023-06-05 20:15:00,20.44413662,49.8661747
23044,2023-06-06 06:00:00,19.6,60480000,2023-06-06 06:00:00,20.49884224,52.32928085
23044,2023-06-06 07:40:00,19.8,70266666,2023-06-06 07:45:00,20.27459383,51.33250586
23044,2023-06-06 09:00:00,19.7,75733333,2023-06-06 09:00:00,20.15885353,51.92419052
23045,2023-06-11 07:50:00,13.2,2701333,2023-06-11 07:45:00,20.19366693,54.61825949
23045,2023-06-12 06:30:00,24.2,87466666,2023-06-12 06:30:00,20.32342243,51.72164345
23046,2023-06-12 09:15:00,13.2,4562666,2023-06-12 09:15:00,20.17467737,52.83926296
23046,2023-06-12 13:00:00,13.7,6328000,2023-06-12 13:00:00,20.3614006,50.44487762
23046,2023-06-12 16:30:00,14.2,8906666,2023-06-12 16:30:00,20.531394,53.41435051
23046,2023-06-12 20:30:00,15.4,14906666,2023-06-12 20:30:00,20.11906815,50.14256083
23046,2023-06-13 07:00:00,23.4,86666666,2023-06-13 07:00:00,20.0214119,51.66377258
23047,2023-06-12 09:15:00,13.2,4562666,2023-06-12 09:15:00,20.17467737,52.83926296
23047,2023-06-12 13:00:00,13.7,6328000,2023-06-12 13:00:00,20.3614006,50.44487762
23047,2023-06-12 16:30:00,14.2,8906666,2023-06-12 16:30:00,20.531394,53.41435051
23047,2023-06-12 20:30:00,15.4,14906666,2023-06-12 20:30:00,20.11906815,50.14256083
23047,2023-06-13 07:00:00,23.4,86666666,2023-06-13 07:00:00,20.0214119,51.66377258
23048,2023-06-19 07:40:00,14.2,4341333,2023-06-19 07:45:00,20.14755058,50.0955048
23048,2023-06-19 11:40:00,14,7018666,2023-06-19 11:45:00,20.12087584,53.36724977
23048,2023-06-19 15:40:00,15.6,10240000,2023-06-19 15:45:00,20.15885353,52.47943205
23048,2023-06-19 19:40:00,16.6,19946666,2023-06-19 19:45:00,20.44458866,52.61856964
23048,2023-06-20 06:20:00,27,86666666,2023-06-20 06:15:00,20.35959148,52.36183453
23049,2023-06-19 07:40:00,14.2,4341333,2023-06-19 07:45:00,20.14755058,50.0955048
23049,2023-06-19 11:40:00,14,7018666,2023-06-19 11:45:00,20.12087584,53.36724977
23049,2023-06-19 15:40:00,15.6,10240000,2023-06-19 15:45:00,20.15885353,52.47943205
23049,2023-06-19 19:40:00,16.6,19946666,2023-06-19 19:45:00,20.44458866,52.61856964
23049,2023-06-20 06:20:00,27,86666666,2023-06-20 06:15:00,20.35959148,52.36183453
23050,2023-06-20 08:30:00,14.2,12080000,2023-06-20 08:30:00,20.42921638,50.36711311
23050,2023-06-20 12:30:00,14.6,5573333,2023-06-20 12:30:00,20.26270946,51.28878911
23050,2023-06-20 16:30:00,15,8880000,2023-06-20 16:30:00,20.1244936,50.06221532
23050,2023-06-20 20:30:00,16.2,15493333,2023-06-20 20:30:00,20.26193523,50.10308075
23050,2023-06-21 06:15:00,23.4,65573333,2023-06-21 06:15:00,20.08741999,51.9715097
23050,2023-06-21 07:25:00,25.2,82666666,2023-06-21 07:30:00,20.19321442,49.89356911
23051,2023-06-20 08:30:00,14.2,12080000,2023-06-20 08:30:00,20.42921638,50.36711311
23051,2023-06-20 12:30:00,14.6,5573333,2023-06-20 12:30:00,20.26270946,51.28878911
23051,2023-06-20 16:30:00,15,8880000,2023-06-20 16:30:00,20.1244936,50.06221532
23051,2023-06-20 20:30:00,16.2,15493333,2023-06-20 20:30:00,20.26193523,50.10308075
23051,2023-06-21 06:15:00,23.4,65573333,2023-06-21 06:15:00,20.08741999,51.9715097
23051,2023-06-21 07:25:00,25.2,82666666,2023-06-21 07:30:00,20.19321442,49.89356911
23053,2023-06-25 07:45:00,15.2,4765333,2023-06-25 07:45:00,20.27142906,52.96274304
23053,2023-06-26 06:30:00,28.9,88000000,2023-06-26 06:30:00,20.24646257,52.5390625
23054,2023-06-26 08:00:00,14.6,3373333,2023-06-26 08:00:00,20.22395706,51.93142319
23054,2023-06-26 12:00:00,15.4,5688000,2023-06-26 12:00:00,20.1660881,53.88537156
23054,2023-06-26 16:00:00,16.5,7754666,2023-06-26 16:00:00,20.15885353,50.7089119
23054,2023-06-26 20:00:00,17.9,16400000,2023-06-26 20:00:00,20.49884224,52.06886673
23054,2023-06-27 06:30:00,25.6,75120000,2023-06-27 06:30:00,20.31890106,52.27952565
23054,2023-06-27 07:20:00,26,85333333,2023-06-27 07:15:00,20.24882364,51.88572295
23055,2023-06-26 08:00:00,14.6,3373333,2023-06-26 08:00:00,20.22395706,51.93142319
23055,2023-06-26 12:00:00,15.4,5688000,2023-06-26 12:00:00,20.1660881,53.88537156
23055,2023-06-26 16:00:00,16.5,7754666,2023-06-26 16:00:00,20.15885353,50.7089119
23055,2023-06-26 20:00:00,17.9,16400000,2023-06-26 20:00:00,20.49884224,52.06886673
23055,2023-06-27 06:30:00,25.6,75120000,2023-06-27 06:30:00,20.31890106,52.27952565
23055,2023-06-27 07:20:00,26,85333333,2023-06-27 07:15:00,20.24882364,51.88572295
23056,2023-07-02 08:00:00,16,2912000,2023-07-02 08:00:00,20.08651543,54.09432602
23056,2023-07-03 07:00:00,27,112266666,2023-07-03 07:00:00,20.07385635,50.58259109
23057,2023-07-02 08:00:00,16,2912000,2023-07-02 08:00:00,20.08651543,54.09432602
23057,2023-07-03 07:00:00,27,112266666,2023-07-03 07:00:00,20.07385635,50.58259109
23060,2023-07-03 08:00:00,16.1,4440000,2023-07-03 08:00:00,20.08651543,49.90957642
23060,2023-07-03 12:00:00,16.2,7888000,2023-07-03 12:00:00,20.15885353,51.75439512
23060,2023-07-03 16:00:00,17.2,10640000,2023-07-03 16:00:00,20.09194183,52.19907379
23060,2023-07-03 20:00:00,18.2,19600000,2023-07-03 20:00:00,20.17050662,49.63469315
23060,2023-07-04 06:35:00,27.6,103466666,2023-07-04 06:30:00,20.29267883,53.20999527
23061,2023-07-03 08:00:00,16.1,4440000,2023-07-03 08:00:00,20.08651543,49.90957642
23061,2023-07-03 12:00:00,16.2,7888000,2023-07-03 12:00:00,20.15885353,51.75439512
23061,2023-07-03 16:00:00,17.2,10640000,2023-07-03 16:00:00,20.09194183,52.19907379
23061,2023-07-03 20:00:00,18.2,19600000,2023-07-03 20:00:00,20.17050662,49.63469315
23061,2023-07-04 06:35:00,27.6,103466666,2023-07-04 06:30:00,20.29267883,53.20999527
23063,2023-07-09 07:30:00,16.2,5728000,2023-07-09 07:30:00,20.06391048,50.64742279
23063,2023-07-10 06:30:00,22.8,101600000,2023-07-10 06:30:00,20.09013271,49.97106361
23064,2023-07-10 08:00:00,15.9,4472000,2023-07-10 08:00:00,20.0214119,49.36342621
23064,2023-07-10 12:00:00,16.2,9146666,2023-07-10 12:00:00,20.14190831,49.08853912
23064,2023-07-10 16:00:00,17.5,12373333,2023-07-10 16:00:00,20.08832359,49.36342621
23064,2023-07-10 20:00:00,17.4,28506666,2023-07-10 20:00:00,20.09375,49.84064413
23064,2023-07-11 06:00:00,23,96800000,2023-07-11 06:00:00,20.15885353,51.25144577
23064,2023-07-11 07:00:00,24.9,112266666,2023-07-11 07:00:00,20.0214119,48.14814758
23065,2023-07-10 08:00:00,15.9,4472000,2023-07-10 08:00:00,20.0214119,49.36342621
23065,2023-07-10 12:00:00,16.2,9146666,2023-07-10 12:00:00,20.14190831,49.08853912
23065,2023-07-10 16:00:00,17.5,12373333,2023-07-10 16:00:00,20.08832359,49.36342621
23065,2023-07-10 20:00:00,17.4,28506666,2023-07-10 20:00:00,20.09375,49.84064413
23065,2023-07-11 06:00:00,23,96800000,2023-07-11 06:00:00,20.15885353,51.25144577
23065,2023-07-11 07:00:00,24.9,112266666,2023-07-11 07:00:00,20.0214119,48.14814758
23067,2023-07-16 08:00:00,16.1,6448000,2023-07-16 08:00:00,20.3614006,51.38888931
23067,2023-07-17 06:30:00,25.5,130666666,2023-07-17 06:30:00,20.17332077,50.71614456
23068,2023-07-17 08:00:00,14.2,4832000,2023-07-17 08:00:00,20.49884224,49.63830948
23068,2023-07-17 12:00:00,15.7,8626666,2023-07-17 12:00:00,20.56394577,47.59837723
23068,2023-07-17 16:00:00,16,12933333,2023-07-17 16:00:00,20.4283123,47.74305344
23068,2023-07-17 20:00:00,16.5,18933333,2023-07-17 20:00:00,20.29629517,53.45897821
23068,2023-07-18 06:15:00,21.9,131200000,2023-07-18 06:15:00,20.15885353,50.78291445
23069,2023-07-17 08:00:00,14.2,4832000,2023-07-17 08:00:00,20.49884224,49.63830948
23069,2023-07-17 12:00:00,15.7,8626666,2023-07-17 12:00:00,20.56394577,47.59837723
23069,2023-07-17 16:00:00,16,12933333,2023-07-17 16:00:00,20.4283123,47.74305344
23069,2023-07-17 20:00:00,16.5,18933333,2023-07-17 20:00:00,20.29629517,53.45897821
23069,2023-07-18 06:15:00,21.9,131200000,2023-07-18 06:15:00,20.15885353,50.78291445
23070,2023-07-23 08:42:00,14.2,4050666,2023-07-23 08:45:00,20.29403591,51.48292828
23070,2023-07-24 07:45:00,26.3,86160000,2023-07-24 07:45:00,20.46809816,49.00421049
23071,2023-07-24 07:45:00,12.7,3661333,2023-07-24 07:45:00,20.46809816,49.00421049
23071,2023-07-24 11:00:00,13.3,6592000,2023-07-24 11:00:00,20.3614006,50.30381775
23071,2023-07-24 15:00:00,14,10053333,2023-07-24 15:00:00,20.49884224,51.33878441
23071,2023-07-24 19:00:00,15,25600000,2023-07-24 19:00:00,20.29725567,52.0101892
23071,2023-07-25 06:15:00,25.5,76880000,2023-07-25 06:15:00,20.2610691,51.05676031
23072,2023-07-24 07:45:00,12.7,3661333,2023-07-24 07:45:00,20.46809816,49.00421049
23072,2023-07-24 11:00:00,13.3,6592000,2023-07-24 11:00:00,20.3614006,50.30381775
23072,2023-07-24 15:00:00,14,10053333,2023-07-24 15:00:00,20.49884224,51.33878441
23072,2023-07-24 19:00:00,15,25600000,2023-07-24 19:00:00,20.29725567,52.0101892
23072,2023-07-25 06:15:00,25.5,76880000,2023-07-25 06:15:00,20.2610691,51.05676031
23073,2023-07-30 06:30:00,15.4,3741333,2023-07-30 06:30:00,20.39087064,52.33470726
23073,2023-07-31 06:30:00,26,85866666,2023-07-31 06:30:00,20.25922298,50.91145706
23073,2023-07-31 07:40:00,28,105333333,2023-07-31 07:45:00,20.3112154,47.22692792
23073,2023-07-31 09:00:00,29.8,111200000,2023-07-31 09:00:00,20.44277954,48.40856552
23075,2023-07-30 06:30:00,15.4,3741333,2023-07-30 06:30:00,20.39087064,52.33470726
23075,2023-07-31 06:30:00,26,85866666,2023-07-31 06:30:00,20.25922298,50.91145706
23075,2023-07-31 07:40:00,28,105333333,2023-07-31 07:45:00,20.3112154,47.22692792
23075,2023-07-31 09:00:00,29.8,111200000,2023-07-31 09:00:00,20.44277954,48.40856552
23076,2023-07-31 07:45:00,14.2,3565333,2023-07-31 07:45:00,20.3112154,47.22692792
23076,2023-07-31 12:00:00,14.5,7322666,2023-07-31 12:00:00,20.29629517,48.28197098
23076,2023-07-31 16:00:00,15.4,8749333,2023-07-31 16:00:00,20.3614006,50.04340363
23076,2023-07-31 20:00:00,16.6,12880000,2023-07-31 20:00:00,20.3614006,52.44180277
23076,2023-08-01 06:15:00,25.4,92000000,2023-08-01 06:15:00,20.16694451,50.72263865
23077,2023-09-03 08:00:00,18.2,5544000,2023-09-03 08:00:00,20.33608246,51.2442131
23077,2023-09-04 07:00:00,26.6,83173333,2023-09-04 07:00:00,20.08651543,48.78870727
23077,2023-09-04 08:50:00,29.9,125333333,2023-09-04 08:45:00,20.2890625,50.6781683
23077,2023-09-04 10:30:00,33,137600000,2023-09-04 10:30:00,20.24746799,52.13397026
23077,2023-09-04 11:40:00,34.8,102666666,2023-09-04 11:45:00,20.41022825,49.22598267
23078,2023-09-03 08:00:00,18.2,5544000,2023-09-03 08:00:00,20.33608246,51.2442131
23078,2023-09-04 07:00:00,26.6,83173333,2023-09-04 07:00:00,20.08651543,48.78870727
23079,2023-09-04 07:45:00,14.6,2976000,2023-09-04 07:45:00,20.23842573,50.13662994
23079,2023-09-04 12:00:00,14.8,8016000,2023-09-04 12:00:00,20.42650414,48.27835464
23079,2023-09-04 16:00:00,15.8,10960000,2023-09-04 16:00:00,20.49341774,46.905512
23079,2023-09-04 20:00:00,16.6,20906666,2023-09-04 20:00:00,20.15885353,44.63252258
23079,2023-09-05 07:00:00,27.1,71600000,2023-09-05 07:00:00,20.56394577,50.61145547
23079,2023-09-05 07:45:00,28.2,92800000,2023-09-05 07:45:00,20.26012659,49.17087496
23080,2023-09-04 07:45:00,14.6,2976000,2023-09-04 07:45:00,20.23842573,50.13662994
23080,2023-09-04 12:00:00,14.8,8016000,2023-09-04 12:00:00,20.42650414,48.27835464
23080,2023-09-04 16:00:00,15.8,10960000,2023-09-04 16:00:00,20.49341774,46.905512
23080,2023-09-04 20:00:00,16.6,20906666,2023-09-04 20:00:00,20.15885353,44.63252258
23080,2023-09-05 07:00:00,27.1,71600000,2023-09-05 07:00:00,20.56394577,50.61145547
23080,2023-09-05 07:45:00,28.2,92800000,2023-09-05 07:45:00,20.26012659,49.17087496
23081,2023-09-12 08:00:00,14.6,3682666,2023-09-12 08:00:00,20.42650414,48.00708771
23081,2023-09-12 12:00:00,15.2,6973333,2023-09-12 12:00:00,20.2756454,48.68344879
23081,2023-09-12 16:00:00,15.8,10213333,2023-09-12 16:00:00,20.08651543,49.89872742
23081,2023-09-12 20:00:00,16.6,17546666,2023-09-12 20:00:00,20.17874718,49.89872742
23081,2023-09-13 07:00:00,24.5,79866666,2023-09-13 07:00:00,20.56394577,48.00360234
23082,2023-09-12 08:00:00,14.6,3682666,2023-09-12 08:00:00,20.42650414,48.00708771
23082,2023-09-12 12:00:00,15.2,6973333,2023-09-12 12:00:00,20.2756454,48.68344879
23082,2023-09-12 16:00:00,15.8,10213333,2023-09-12 16:00:00,20.08651543,49.89872742
23082,2023-09-12 20:00:00,16.6,17546666,2023-09-12 20:00:00,20.17874718,49.89872742
23082,2023-09-13 07:00:00,24.5,79866666,2023-09-13 07:00:00,20.56394577,48.00360234
23083,2023-09-11 08:15:00,14.7,24106666,2023-09-11 08:15:00,20.21988869,52.25694275
23083,2023-09-12 07:15:00,28.4,90986666,2023-09-12 07:15:00,20.22576618,49.12199688
23084,2023-09-11 08:15:00,14.7,24106666,2023-09-11 08:15:00,20.21988869,52.25694275
23084,2023-09-12 07:15:00,28.4,90986666,2023-09-12 07:15:00,20.22576618,49.12199688
23085,2023-09-25 09:00:00,15.4,3520000,2023-09-25 09:00:00,19.95630836,51.79759598
23085,2023-09-25 07:45:00,29.4,100000000,2023-09-25 07:45:00,20.15930605,50.20746331
23086,2023-09-25 09:00:00,15.4,3520000,2023-09-25 09:00:00,19.95630836,51.79759598
23086,2023-09-25 07:45:00,29.4,100000000,2023-09-25 07:45:00,20.15930605,50.20746331
23087,2023-09-25 08:30:00,15,4456000,2023-09-25 08:30:00,20.01327419,50.69411207
