IPC_CF_LOTE,IPC_CF_FECHA,IPC_CF_TURBIDEZ,IPC_CF_VIABILIDAD,IPC_CF_GLUCOSA_G/L,IPC_CF_FECHA_APROX,IPC_CF_TH_07781_TI1501.PV,IPC_CF_TH_07781_MI1501.PV
23023,2023-03-28 12:00:00,17.52,11200000,2.19,2023-03-28 12:00:00,20.40653992,49.24406815
23023,2023-03-28 16:00:00,18.72,19893333.33,2.15,2023-03-28 16:00:00,20.13888931,48.71238327
23023,2023-03-28 20:00:00,19.84,32266666.67,2.02,2023-03-28 20:00:00,20.34143448,50.73784637
23023,2023-03-29 08:00:00,32.08,98933333.33,1.9,2023-03-29 08:00:00,20.40653992,50.02845199
23023,2023-03-29 12:00:00,39.92,135733333.3,1.78,2023-03-29 12:00:00,20.37037086,49.6817131
23023,2023-03-29 16:00:00,47.6,132533333.3,1.65,2023-03-29 16:00:00,20.27452278,51.81568146
23023,2023-03-29 20:00:00,55.28,113866666.7,1.23,2023-03-29 20:00:00,20.47887611,52.61863327
23023,2023-03-30 06:15:00,72.88,179733333.3,0.69,2023-03-30 06:15:00,20.30345726,49.21151638
23023,2023-03-30 07:30:00,73.2,194933333.3,0.61,2023-03-30 07:30:00,20.10272026,48.09692152
23023,2023-03-30 09:30:00,74.4,132533333.3,0.52,2023-03-30 09:30:00,20.13798428,47.15169144
23023,2023-03-30 12:00:00,81.6,212000000,0.46,2023-03-30 12:00:00,19.82060242,47.90219879
23024,2023-03-28 08:00:00,16.56,6802666.67,1.79,2023-03-28 08:00:00,20.13707924,50.19169617
23024,2023-03-28 12:00:00,16.72,12480000,2.16,2023-03-28 12:00:00,20.40653992,49.24406815
23024,2023-03-28 16:00:00,18.56,16080000,2.12,2023-03-28 16:00:00,20.13888931,48.71238327
23024,2023-03-28 20:00:00,19.6,34346666.67,2.1,2023-03-28 20:00:00,20.34143448,50.73784637
23024,2023-03-29 08:00:00,32.88,112533333.3,1.85,2023-03-29 08:00:00,20.40653992,50.02845199
23024,2023-03-29 12:00:00,44.16,117866666.7,1.78,2023-03-29 12:00:00,20.37037086,49.6817131
23024,2023-03-29 16:00:00,55.2,166400000,1.54,2023-03-29 16:00:00,20.27452278,51.81568146
23024,2023-03-29 20:00:00,65.68,184800000,,2023-03-29 20:00:00,20.47887611,52.61863327
23024,2023-03-30 06:15:00,80.8,199466666.7,0.48,2023-03-30 06:15:00,20.30345726,49.21151638
23024,2023-03-30 07:30:00,78.96,243200000,0.43,2023-03-30 07:30:00,20.10272026,48.09692152
23024,2023-03-30 09:30:00,77.12,160800000,0.44,2023-03-30 09:30:00,20.13798428,47.15169144
23025,2023-03-29 07:30:00,17.2,6266666.67,1.97,2023-03-29 07:30:00,20.33239269,49.90571884
23025,2023-03-29 11:30:00,18.96,8960000,1.94,2023-03-29 11:30:00,20.24649143,49.86979103
23025,2023-03-29 15:30:00,19.6,18933333.33,1.87,2023-03-29 15:30:00,20.17053699,52.07146421
23025,2023-03-29 19:30:00,21.28,27653333.33,1.8,2023-03-29 19:30:00,20.17144012,53.42520142
23025,2023-03-30 08:00:00,37.12,98133333.33,1.64,2023-03-30 08:00:00,19.7989006,48.30611339
23025,2023-03-30 12:00:00,51.12,114133333.3,1.59,2023-03-30 12:00:00,19.82060242,47.90219879
23025,2023-03-30 16:00:00,58.88,164800000,1.54,2023-03-30 16:00:00,20.34143448,50.4629631
23025,2023-03-30 20:00:00,69.52,176000000,1.16,2023-03-30 20:00:00,20.54398155,49.91319275
23025,2023-03-31 06:15:00,84,203466666.7,0.34,2023-03-31 06:15:00,20.30345726,50.51332457
23025,2023-03-31 07:30:00,87.2,198933333.3,0.21,2023-03-31 07:30:00,20.3739872,50.0193421
23026,2023-03-29 07:30:00,18,5306666.67,1.83,2023-03-29 07:30:00,20.33239269,49.90571884
23026,2023-03-29 11:30:00,18.8,9040000,2.11,2023-03-29 11:30:00,20.24649143,49.86979103
23026,2023-03-29 15:30:00,19.2,16666666.67,1.78,2023-03-29 15:30:00,20.17053699,52.07146421
23026,2023-03-29 19:30:00,20.64,25733333.33,1.84,2023-03-29 19:30:00,20.17144012,53.42520142
23026,2023-03-30 08:00:00,33.2,98933333.33,1.66,2023-03-30 08:00:00,19.7989006,48.30611339
23026,2023-03-30 12:00:00,48.64,102666666.7,1.72,2023-03-30 12:00:00,19.82060242,47.90219879
23026,2023-03-30 16:00:00,54.08,122133333.3,1.6,2023-03-30 16:00:00,20.34143448,50.4629631
23026,2023-03-30 20:00:00,65.2,163733333.3,1.37,2023-03-30 20:00:00,20.54398155,49.91319275
23026,2023-03-31 06:15:00,79.6,204800000,0.57,2023-03-31 06:15:00,20.30345726,50.51332457
23026,2023-03-31 07:30:00,81.2,206400000,0.41,2023-03-31 07:30:00,20.3739872,50.0193421
23027,2023-04-04 10:30:00,16.88,5525333.33,1.68,2023-04-04 10:30:00,20.33781815,43.09353256
23027,2023-04-04 14:30:00,17.12,6226666.67,1.9,2023-04-04 14:30:00,20.20399284,42.22366714
23027,2023-04-04 18:30:00,17.088,12000000,1.75,2023-04-04 18:30:00,20.20580101,44.58992532
23027,2023-04-05 07:00:00,22.08,47840000,,2023-04-05 07:00:00,19.65241623,40.06438065
23027,2023-04-05 11:00:00,26.56,67760000,,2023-04-05 11:00:00,19.78985786,40.33564758
23027,2023-04-05 15:00:00,31.68,99466666.67,,2023-04-05 15:00:00,20.3794117,39.79043883
23027,2023-04-05 19:00:00,40.4,130933333.3,,2023-04-05 19:00:00,20.20399284,40.19097137
23027,2023-04-06 07:00:00,59.04,174133333.3,,2023-04-06 07:00:00,19.92910767,40.59606552
23027,2023-04-06 10:00:00,66.08,218400000,,2023-04-06 10:00:00,19.76634789,38.97569275
23027,2023-04-06 12:00:00,68.08,195466666.7,0.84,2023-04-06 12:00:00,20.06655121,39.38440323
23028,2023-04-04 10:30:00,18.56,5146666.67,1.25,2023-04-04 10:30:00,20.33781815,43.09353256
23028,2023-04-04 14:30:00,18.56,7096000,1.86,2023-04-04 14:30:00,20.20399284,42.22366714
23028,2023-04-04 18:30:00,18.88,11173333.33,1.87,2023-04-04 18:30:00,20.20580101,44.58992532
23028,2023-04-05 07:00:00,23.84,48880000,,2023-04-05 07:00:00,19.65241623,40.06438065
23028,2023-04-05 11:00:00,28.08,69653333.33,,2023-04-05 11:00:00,19.78985786,40.33564758
23028,2023-04-05 15:00:00,32.56,92266666.67,,2023-04-05 15:00:00,20.3794117,39.79043883
23028,2023-04-05 19:00:00,40.32,138933333.3,,2023-04-05 19:00:00,20.20399284,40.19097137
23028,2023-04-06 07:00:00,62.88,207733333.3,,2023-04-06 07:00:00,19.92910767,40.59606552
23028,2023-04-06 10:00:00,65.52,198933333.3,,2023-04-06 10:00:00,19.76634789,38.97569275
23028,2023-04-06 12:00:00,67.2,176000000,0.91,2023-04-06 12:00:00,20.06655121,39.38440323
23029,2023-04-18 08:00:00,16.96,5552000,1.9,2023-04-18 08:00:00,20.20399284,49.24768448
23029,2023-04-18 12:00:00,17.36,10880000,,2023-04-18 12:00:00,20.40653992,48.56770706
23029,2023-04-18 16:00:00,18.4,15146666.67,,2023-04-18 16:00:00,20.40653992,49.78298569
23029,2023-04-18 20:00:00,20.16,25333333.33,,2023-04-18 20:00:00,20.38664627,50.75593185
23029,2023-04-19 06:00:00,32.56,91733333.33,,2023-04-19 06:00:00,20.13888931,49.78660202
23029,2023-04-19 10:30:00,41.76,115466666.7,,2023-04-19 10:30:00,20.35680676,48.64004517
23029,2023-04-19 14:30:00,53.84,14346666.67,,2023-04-19 14:30:00,20.23654461,48.00527195
23029,2023-04-19 18:30:00,67.84,154400000,,2023-04-19 18:30:00,20.07016754,47.29455948
23029,2023-04-20 06:00:00,85.6,199733333.3,,2023-04-20 06:00:00,20.20399284,46.00694275
23029,2023-04-20 07:30:00,85.6,262666666.7,0.22,2023-04-20 07:30:00,20.20399284,45.46440887
23030,2023-04-18 08:00:00,19.36,5440000,1.9,2023-04-18 08:00:00,20.20399284,49.24768448
23030,2023-04-18 12:00:00,19.68,10746666.67,,2023-04-18 12:00:00,20.40653992,48.56770706
23030,2023-04-18 16:00:00,20.48,14773333.33,,2023-04-18 16:00:00,20.40653992,49.78298569
23030,2023-04-18 20:00:00,22.16,28346666.67,,2023-04-18 20:00:00,20.38664627,50.75593185
23030,2023-04-19 06:00:00,34.24,82666666.67,,2023-04-19 06:00:00,20.13888931,49.78660202
23030,2023-04-19 10:30:00,42.72,123733333.3,,2023-04-19 10:30:00,20.35680676,48.64004517
23030,2023-04-19 14:30:00,53.36,129066666.7,,2023-04-19 14:30:00,20.23654461,48.00527195
23030,2023-04-19 18:30:00,65.04,150933333.3,,2023-04-19 18:30:00,20.07016754,47.29455948
23030,2023-04-20 06:00:00,81.6,173600000,,2023-04-20 06:00:00,20.20399284,46.00694275
23030,2023-04-20 07:30:00,75.92,178933333.3,0.09,2023-04-20 07:30:00,20.20399284,45.46440887
23031,2023-04-18 08:00:00,18.64,5336000,1.9,2023-04-18 08:00:00,20.20399284,49.24768448
23031,2023-04-18 12:00:00,19.12,9600000,,2023-04-18 12:00:00,20.40653992,48.56770706
23031,2023-04-18 16:00:00,19.92,15306666.67,,2023-04-18 16:00:00,20.40653992,49.78298569
23031,2023-04-18 20:00:00,21.6,17760000,,2023-04-18 20:00:00,20.38664627,50.75593185
23031,2023-04-19 06:00:00,33.04,72960000,,2023-04-19 06:00:00,20.13888931,49.78660202
23031,2023-04-19 10:30:00,40.08,88266666.67,,2023-04-19 10:30:00,20.35680676,48.64004517
23031,2023-04-19 14:30:00,52.32,124800000,,2023-04-19 14:30:00,20.23654461,48.00527195
23031,2023-04-19 18:30:00,64.56,149066666.7,,2023-04-19 18:30:00,20.07016754,47.29455948
23031,2023-04-20 06:00:00,85.6,190666666.7,,2023-04-20 06:00:00,20.20399284,46.00694275
23031,2023-04-20 07:30:00,84,97333333.33,0.34,2023-04-20 07:30:00,20.20399284,45.46440887
23032,2023-04-18 08:00:00,18.88,5437333.33,1.9,2023-04-18 08:00:00,20.20399284,49.24768448
23032,2023-04-18 12:00:00,18.24,10693333.33,,2023-04-18 12:00:00,20.40653992,48.56770706
23032,2023-04-18 16:00:00,19.76,16080000,,2023-04-18 16:00:00,20.40653992,49.78298569
23032,2023-04-18 20:00:00,21.52,25120000,,2023-04-18 20:00:00,20.38664627,50.75593185
23032,2023-04-19 06:00:00,33.04,81280000,,2023-04-19 06:00:00,20.13888931,49.78660202
23032,2023-04-19 10:30:00,41.6,115466666.7,,2023-04-19 10:30:00,20.35680676,48.64004517
23032,2023-04-19 14:30:00,51.44,106400000,,2023-04-19 14:30:00,20.23654461,48.00527195
23032,2023-04-19 18:30:00,63.76,128426666.7,,2023-04-19 18:30:00,20.07016754,47.29455948
23032,2023-04-20 06:00:00,78.4,182666666.7,,2023-04-20 06:00:00,20.20399284,46.00694275
23032,2023-04-20 07:30:00,75.68,195733333.3,0.4,2023-04-20 07:30:00,20.20399284,45.46440887
23033,2023-04-25 13:00:00,17.84,5706666.67,1.9,2023-04-25 13:00:00,19.93634224,56.14872742
23033,2023-04-25 17:00:00,18.64,8906666.67,,2023-04-25 17:00:00,20.61631966,52.75607681
23033,2023-04-25 21:00:00,19.28,14506666.67,,2023-04-25 21:00:00,20.21484375,51.41782379
23033,2023-04-26 07:00:00,23.76,45013333.33,,2023-04-26 07:00:00,20.34143448,52.23524094
23033,2023-04-26 11:00:00,28.32,76746666.67,1.9,2023-04-26 11:00:00,20.39930534,50.70529556
23033,2023-04-26 15:00:00,34.32,88000000,1.91,2023-04-26 15:00:00,20.12442017,47.63093185
23033,2023-04-26 19:00:00,42.08,118400000,1.85,2023-04-26 19:00:00,20.40653992,50.04261809
23033,2023-04-27 06:00:00,56.88,199200000,1.35,2023-04-27 06:00:00,19.66145706,54.25347137
23033,2023-04-27 08:00:00,57.84,201066666.7,1.24,2023-04-27 08:00:00,20.20399284,49.52256775
23033,2023-04-27 09:00:00,66.96,251466666.7,1.03,2023-04-27 09:00:00,19.81517601,51.95674133
23033,2023-04-27 11:45:00,69.52,244266666.7,0.95,2023-04-27 11:45:00,20.12080336,52.04257429
23033,2023-04-27 12:50:00,72.48,226933333.3,0.86,2023-04-27 12:45:00,19.90107679,53.5065579
23034,2023-04-25 13:00:00,16.32,5522666.67,,2023-04-25 13:00:00,19.93634224,56.14872742
23034,2023-04-25 17:00:00,17.2,7784000,,2023-04-25 17:00:00,20.61631966,52.75607681
23034,2023-04-25 21:00:00,17.36,13493333.33,,2023-04-25 21:00:00,20.21484375,51.41782379
23034,2023-04-26 07:00:00,21.12,42133333.33,,2023-04-26 07:00:00,20.34143448,52.23524094
23034,2023-04-26 11:00:00,24.88,73093333.33,2.02,2023-04-26 11:00:00,20.39930534,50.70529556
23034,2023-04-26 15:00:00,29.68,99466666.67,1.87,2023-04-26 15:00:00,20.12442017,47.63093185
23034,2023-04-26 19:00:00,38.56,104000000,1.84,2023-04-26 19:00:00,20.40653992,50.04261809
23034,2023-04-27 06:00:00,56.96,191733333.3,1.35,2023-04-27 06:00:00,19.66145706,54.25347137
23034,2023-04-27 08:00:00,60.8,181066666.7,1.25,2023-04-27 08:00:00,20.20399284,49.52256775
23034,2023-04-27 09:00:00,62.48,186666666.7,1.11,2023-04-27 09:00:00,19.81517601,51.95674133
23034,2023-04-27 11:45:00,67.36,227466666.7,1.11,2023-04-27 11:45:00,20.12080336,52.04257429
23034,2023-04-27 12:50:00,69.12,196533333.3,0.88,2023-04-27 12:45:00,19.90107679,53.5065579
23035,2023-04-25 08:00:00,17.76,4237333.33,,2023-04-25 08:00:00,20.1171875,52.6222496
23035,2023-04-25 12:00:00,17.76,6234666.67,,2023-04-25 12:00:00,20.61631966,52.61863327
23035,2023-04-25 16:00:00,18.32,9920000,,2023-04-25 16:00:00,19.93634224,53.57349396
23035,2023-04-25 20:00:00,18.8,21893333.33,,2023-04-25 20:00:00,20.47887611,52.39708857
23035,2023-04-26 07:00:00,24.16,51333333.33,,2023-04-26 07:00:00,20.34143448,52.23524094
23035,2023-04-26 11:00:00,29.12,92266666.67,1.86,2023-04-26 11:00:00,20.39930534,50.70529556
23035,2023-04-26 15:00:00,34.4,134666666.7,2.02,2023-04-26 15:00:00,20.12442017,47.63093185
23035,2023-04-26 19:00:00,42.88,136000000,1.59,2023-04-26 19:00:00,20.40653992,50.04261809
23035,2023-04-27 06:00:00,63.12,185066666.7,1.23,2023-04-27 06:00:00,19.66145706,54.25347137
23035,2023-04-27 08:00:00,66.4,176533333.3,1.14,2023-04-27 08:00:00,20.20399284,49.52256775
23035,2023-04-27 09:00:00,59.84,170933333.3,0.63,2023-04-27 09:00:00,19.81517601,51.95674133
23035,2023-04-27 09:40:00,59.76,191466666.7,0.9,2023-04-27 09:45:00,19.90605068,54.35239632
23036,2023-05-22 08:00:00,16.4,4845333.33,2.09,2023-05-22 08:00:00,20.294487,53.54817581
23036,2023-05-22 12:00:00,16.72,8453333.33,2.14,2023-05-22 12:00:00,20.22395706,49.89872742
23036,2023-05-22 16:00:00,17.2,13333333.33,2.31,2023-05-22 16:00:00,20.48618317,53.28414154
23036,2023-05-22 20:00:00,18.8,13066666.67,2.22,2023-05-22 20:00:00,20.26193619,51.92419052
23036,2023-05-23 07:30:00,28.48,74000000,1.96,2023-05-23 07:30:00,20.13116399,50.9765625
23036,2023-05-23 11:30:00,34.24,112266666.7,1.9,2023-05-23 11:30:00,20.42650414,51.85546875
23036,2023-05-23 15:30:00,42.24,83733333.33,1.73,2023-05-23 15:30:00,20.46267319,51.15023833
23036,2023-05-23 20:00:00,50.16,109333333.3,1.56,2023-05-23 20:00:00,20.22395706,52.06524658
23036,2023-05-24 06:30:00,62.08,165333333.3,1.02,2023-05-24 06:30:00,20.29810429,52.26056099
23036,2023-05-24 07:45:00,62.88,188800000,0.93,2023-05-24 07:45:00,20.29132223,53.06893826
23036,2023-05-24 09:00:00,65.28,168533333.3,0.9,2023-05-24 09:00:00,20.5458622,52.734375
23036,2023-05-24 11:00:00,65.92,142400000,0.68,2023-05-24 11:00:00,20.41384506,52.734375
23038,2023-05-23 08:00:00,15.28,7728000,0.53,2023-05-23 08:00:00,19.97326547,49.49363327
23038,2023-05-23 12:30:00,15.52,11866666.67,0.54,2023-05-23 12:30:00,20.3252306,52.19726563
23038,2023-05-23 14:40:00,,,0.47,2023-05-23 14:45:00,20.44368458,51.02267647
23038,2023-05-23 15:40:00,16.96,15386666.67,1.14,2023-05-23 15:45:00,20.48075771,50.82836767
23038,2023-05-23 20:00:00,18.88,23573333.33,1.59,2023-05-23 20:00:00,20.22395706,52.06524658
23038,2023-05-24 07:00:00,26.88,84800000,1.25,2023-05-24 07:00:00,20.28182793,52.4667244
23038,2023-05-24 11:00:00,34.96,117333333.3,1.27,2023-05-24 11:00:00,20.41384506,52.734375
23038,2023-05-24 15:00:00,41.04,97066666.67,1.18,2023-05-24 15:00:00,20.42650414,52.60416412
23038,2023-05-24 19:00:00,45.2,150933333.3,0.97,2023-05-24 19:00:00,20.15885353,53.14308548
23038,2023-05-25 06:30:00,58.64,157866666.7,0.32,2023-05-25 06:30:00,20.37044239,52.73437309
23038,2023-05-25 08:00:00,64.56,174400000,0.62,2023-05-25 08:00:00,20.22395706,51.2442131
23038,2023-05-25 09:00:00,63.92,165066666.7,0.55,2023-05-25 09:00:00,20.33246422,52.46310806
23038,2023-05-25 10:00:00,65.6,172266666.7,1.14,2023-05-25 10:00:00,20.33246422,53.26967621
23038,2023-05-25 12:30:00,67.92,145333333.3,0.87,2023-05-25 12:30:00,20.12268448,55.37470818
23039,2023-05-23 08:00:00,17.84,7824000,2.18,2023-05-23 08:00:00,19.97326547,49.49363327
23039,2023-05-23 12:30:00,17.92,10293333.33,2.22,2023-05-23 12:30:00,20.3252306,52.19726563
23039,2023-05-23 15:40:00,19.36,13653333.33,2.35,2023-05-23 15:45:00,20.48075771,50.82836767
23039,2023-05-23 20:00:00,21.2,20400000,2.13,2023-05-23 20:00:00,20.22395706,52.06524658
23039,2023-05-24 07:00:00,29.44,77946666.67,2.06,2023-05-24 07:00:00,20.28182793,52.4667244
23039,2023-05-24 11:00:00,33.12,107200000,1.72,2023-05-24 11:00:00,20.41384506,52.734375
23039,2023-05-24 15:00:00,40.96,68240000,1.86,2023-05-24 15:00:00,20.42650414,52.60416412
23039,2023-05-24 19:00:00,46.72,111466666.7,1.71,2023-05-24 19:00:00,20.15885353,53.14308548
23039,2023-05-25 06:30:00,62.88,154666666.7,1.19,2023-05-25 06:30:00,20.37044239,52.73437309
23039,2023-05-25 08:00:00,63.12,143200000,0.94,2023-05-25 08:00:00,20.22395706,51.2442131
23039,2023-05-25 09:00:00,62.72,149066666.7,0.89,2023-05-25 09:00:00,20.33246422,52.46310806
23039,2023-05-25 10:00:00,62.56,146666666.7,0.98,2023-05-25 10:00:00,20.33246422,53.26967621
23039,2023-05-25 12:30:00,67.2,122666666.7,0.81,2023-05-25 12:30:00,20.12268448,55.37470818
23040,2023-05-29 07:45:00,13.92,4296000,1.25,2023-05-29 07:45:00,20.32613516,53.44328594
23040,2023-05-29 11:30:00,13.92,7570666.67,1.38,2023-05-29 11:30:00,20.19050121,52.52193434
23040,2023-05-29 16:00:00,14.88,14693333.33,1.44,2023-05-29 16:00:00,20.15885353,52.19907379
23040,2023-05-29 20:00:00,15.68,19306666.67,1.51,2023-05-29 20:00:00,20.56032944,52.734375
23040,2023-05-30 06:30:00,24.48,107200000,1.38,2023-05-30 06:30:00,20.35778332,52.59693336
23040,2023-05-30 10:30:00,29.28,165600000,1.42,2023-05-30 10:30:00,20.31890202,53.0128746
23040,2023-05-30 11:45:00,32.32,154666666.7,1.34,2023-05-30 11:45:00,20.15523672,53.07888508
23041,2023-05-30 08:00:00,15.6,6850666.67,1.66,2023-05-30 08:00:00,20.29629517,53.14670181
23041,2023-05-30 12:00:00,16.08,11546666.67,1.65,2023-05-30 12:00:00,20.08651543,53.14308548
23041,2023-05-30 16:00:00,16.88,17040000,1.66,2023-05-30 16:00:00,20.49160767,52.90436935
23041,2023-05-30 20:00:00,18.24,23920000,1.68,2023-05-30 20:00:00,20.3614006,51.99277575
23041,2023-05-31 07:20:00,30.08,91466666.67,1.65,2023-05-31 07:15:00,20.39169168,53.91710091
23041,2023-05-31 11:20:00,37.84,111200000,1.42,2023-05-31 11:15:00,20.32929945,53.70664661
23041,2023-05-31 16:00:00,48.96,149866666.7,1.24,2023-05-31 16:00:00,20.49884224,48.55324173
23041,2023-05-31 20:00:00,59.52,166933333.3,1.08,2023-05-31 20:00:00,20.22576714,53.54817581
23041,2023-06-01 06:15:00,79.36,165333333.3,0.23,2023-06-01 06:15:00,20.44865847,51.79397964
23041,2023-06-01 07:15:00,79.28,197333333.3,0.18,2023-06-01 07:15:00,20.4816618,51.28761387
23041,2023-06-01 10:00:00,76.8,260266666.7,0,2023-06-01 10:00:00,20.15885353,49.63107681
23042,2023-05-31 07:20:00,15.28,5864000,2.3,2023-05-31 07:15:00,20.39169168,53.91710091
23042,2023-05-31 11:20:00,15.68,8480000,1.92,2023-05-31 11:15:00,20.32929945,53.70664661
23042,2023-05-31 16:00:00,17.28,14986666.67,2.24,2023-05-31 16:00:00,20.49884224,48.55324173
23042,2023-05-31 20:00:00,18.72,22186666.67,2.28,2023-05-31 20:00:00,20.22576714,53.54817581
23042,2023-06-01 06:15:00,28.88,65680000,1.88,2023-06-01 06:15:00,20.44865847,51.79397964
23042,2023-06-01 11:30:00,36.48,106666666.7,1.82,2023-06-01 11:30:00,20.29358292,51.79397964
23042,2023-06-01 16:00:00,46.72,134133333.3,1.54,2023-06-01 16:00:00,20.29629517,48.55324173
23042,2023-06-01 20:00:00,57.28,132000000,1.42,2023-06-01 20:00:00,20.08470726,52.745224
23042,2023-06-02 06:30:00,67.12,214400000,0.75,2023-06-02 06:30:00,20.22395802,51.18272591
23042,2023-06-02 07:50:00,65.12,222666666.7,0.7,2023-06-02 07:45:00,20.03768778,52.77235317
23042,2023-06-02 09:00:00,64.32,215200000,0.69,2023-06-02 09:00:00,20.15885353,54.63324738
23042,2023-06-02 11:00:00,68.96,209866666.7,0.51,2023-06-02 11:00:00,20.22395706,48.00708771
23044,2023-06-06 13:00:00,14.88,2778666.67,2.11,2023-06-06 13:00:00,20.15885353,52.60416412
23044,2023-06-06 13:00:00,15.36,5197333.33,1.94,2023-06-06 13:00:00,20.15885353,52.60416412
23044,2023-06-06 17:00:00,15.44,5656000,1.96,2023-06-06 17:00:00,20.3614006,51.79397964
23044,2023-06-06 21:00:00,16.08,9493333.33,1.89,2023-06-06 21:00:00,20.15885353,53.74496237
23044,2023-06-07 06:15:00,18.56,24240000,1.98,2023-06-07 06:15:00,20.43373871,53.77423191
23044,2023-06-07 10:45:00,20.64,32506666.67,2.1,2023-06-07 10:45:00,20.21446276,50.17180252
