LOTE,FECHA/HORA_INICIO,FECHA/HORA_FIN,PH_MAS_BAJO_1,PH_MAS_BAJO_2,TURBIDEZ_PH_BAJO_1,TURBIDEZ_PH_BAJO_2
23056,2023-07-01 05:00:00,2023-07-02 08:35:00,5.48,5.5440000000000005,30.32,31.760000000000005
23957,2023-07-01 05:00:00,2023-07-02 08:35:00,5.48,5.5440000000000005,30.32,31.760000000000005
23060,2023-07-02 05:00:00,2023-07-03 07:30:00,5.5120000000000005,5.5280000000000005,30.8,31.52
23061,2023-07-02 05:00:00,2023-07-03 07:30:00,5.5120000000000005,5.5280000000000005,30.8,31.52
23062,2023-07-08 05:00:00,2023-07-09 07:45:00,5.456,5.496,41.28,30.24
23063,2023-07-08 05:00:00,2023-07-09 07:45:00,5.456,5.496,41.28,30.24
23064,2023-07-09 05:00:00,2023-07-10 07:20:00,5.408,5.464,29.28,29.8
23065,2023-07-09 05:00:00,2023-07-10 07:20:00,5.408,5.464,29.28,29.8
23067,2023-07-15 05:00:00,2023-07-16 07:30:00,5.5200000000000005,5.5440000000000005,25.36,27.760000000000005
23068,2023-07-16 05:00:00,2023-07-17 07:35:00,5.5840000000000005,5.6240000000000006,26.480000000000004,35.28
23069,2023-07-16 05:00:00,2023-07-17 07:35:00,5.5840000000000005,5.6240000000000006,26.480000000000004,35.28
23066,2023-07-22 05:00:00,2023-07-23 08:30:00,5.44,5.464,30.960000000000004,29.52
23070,2023-07-22 05:00:00,2023-07-23 08:30:00,5.44,5.464,30.960000000000004,29.52
23071,2023-07-23 05:00:00,2023-07-24 07:00:00,5.472,5.48,27.52,26.56
23072,2023-07-23 05:00:00,2023-07-24 07:00:00,5.472,5.48,27.52,26.56
23073,2023-07-29 05:00:00,2023-07-30 07:10:00,5.504,5.5200000000000005,34.24,31.04
23075,2023-07-29 05:00:00,2023-07-31 07:15:00,5.464,,42.56,
23074,2023-07-30 05:00:00,2023-07-30 07:10:00,5.504,5.5200000000000005,34.24,31.04
23076,2023-07-30 05:00:00,2023-07-31 07:00:00,5.376,,34.88,
23077,2023-09-02 05:00:00,2023-09-03 07:45:00,5.424,5.44,30.960000000000004,32.160000000000004
23078,2023-09-02 05:00:00,2023-09-03 07:45:00,5.424,5.44,30.960000000000004,32.160000000000004
23079,2023-09-03 05:00:00,2023-09-04 07:45:00,5.312,5.424,50.64,27.680000000000003
23080,2023-09-03 05:00:00,2023-09-04 07:45:00,5.312,5.424,50.64,27.680000000000003
23081,2023-09-10 05:00:00,2023-09-11 08:00:00,5.496,5.504,28.4,28.0
23082,2023-09-10 05:00:00,2023-09-11 08:00:00,5.496,5.504,28.4,28.0
23083,2023-09-11 05:00:00,2023-09-12 07:45:00,5.424,5.448,29.200000000000003,30.480000000000004
23084,2023-09-11 05:00:00,2023-09-12 07:45:00,5.424,5.448,29.200000000000003,30.480000000000004
23085,2023-09-23 05:00:00,2023-09-24 08:15:00,5.208,5.464,28.480000000000004,30.32
23086,2023-09-23 05:00:00,2023-09-24 08:15:00,5.208,5.464,28.480000000000004,30.32
23087,2023-09-24 05:00:00,2023-09-25 07:30:00,5.456,5.48,31.84,29.680000000000003
23088,2023-09-24 05:00:00,2023-09-25 07:30:00,5.456,5.48,31.84,29.680000000000003
23089,2023-09-30 00:30:00,2023-10-01 08:30:00,5.36,5.392,37.12,49.44
23090,2023-09-30 00:30:00,2023-10-01 08:30:00,5.36,5.392,37.12,49.44
23091,2023-10-01 00:30:00,2023-10-02 07:30:00,5.472,5.5120000000000005,32.72,37.760000000000005
23092,2023-10-01 00:30:00,2023-10-02 07:30:00,5.472,5.5120000000000005,32.72,37.760000000000005
23094,2023-10-07 00:30:00,2023-10-08 08:00:00,5.392,5.408,34.480000000000004,36.160000000000004
23095,2023-10-07 00:30:00,2023-10-08 08:00:00,5.392,5.408,34.480000000000004,36.160000000000004
23096,2023-10-15 00:30:00,2023-10-16 07:30:00,5.44,5.472,32.4,31.92
23097,2023-10-15 00:30:00,2023-10-16 07:30:00,5.352,,34.080000000000005,
23098,2023-10-15 00:30:00,2023-10-16 07:30:00,5.44,5.472,32.4,31.92
23099,2023-10-21 00:30:00,2023-10-22 09:30:00,5.5120000000000005,5.5200000000000005,31.04,29.200000000000003
23100,2023-10-21 00:30:00,2023-10-22 09:30:00,5.5120000000000005,5.5200000000000005,31.04,29.200000000000003
23101,2023-10-22 00:30:00,2023-10-23 07:20:00,5.384,5.464,31.84,31.04
23102,2023-10-22 00:30:00,2023-10-23 07:20:00,5.384,5.464,31.84,31.04
23103,2023-10-29 00:30:00,2023-10-30 09:00:00,5.296,5.36,33.12,32.080000000000005
23104,2023-10-29 00:30:00,2023-10-30 09:45:00,5.336,5.376,36.080000000000005,32.160000000000004
23105,2023-10-29 00:30:00,2023-10-30 09:00:00,5.296,5.36,33.12,32.080000000000005
23108,2023-11-04 00:30:00,2023-11-05 09:45:00,5.4,5.416,34.4,35.6
23109,2023-11-04 00:30:00,2023-11-05 09:45:00,5.4,5.416,34.4,35.6
23110,2023-11-05 00:30:00,2023-11-06 12:00:00,5.352,5.424,32.4,36.0
23111,2023-11-05 00:30:00,2023-11-06 12:00:00,5.352,5.424,32.4,36.0
23112,2023-11-11 00:30:00,2023-11-12 09:10:00,5.464,5.464,32.56,30.880000000000003
23113,2023-11-11 00:30:00,2023-11-12 09:10:00,5.464,5.464,32.56,30.880000000000003
23462,2023-11-12 00:30:00,2023-11-13 07:25:00,5.352,5.432,26.8,28.64
23114,2023-11-12 00:30:00,2023-11-13 07:25:00,5.368,5.448,29.200000000000003,26.64
23117,2023-11-12 00:30:00,2023-11-13 07:25:00,5.368,5.448,29.200000000000003,26.64
23118,2023-11-18 00:30:00,2023-11-19 07:30:00,5.352,5.368,39.92,37.68
23119,2023-11-18 00:30:00,2023-11-19 07:30:00,5.352,5.368,39.92,37.68
23120,2023-11-19 00:30:00,2023-11-20 07:45:00,5.32,5.384,32.160000000000004,31.44
23121,2023-11-19 00:30:00,2023-11-20 07:50:00,5.232,5.408,28.72,25.760000000000005
23124,2023-11-25 00:30:00,2023-11-26 07:35:00,5.36,5.368,32.160000000000004,30.0
23125,2023-11-25 00:30:00,2023-11-26 07:35:00,5.36,5.368,32.160000000000004,30.0
23126,2023-11-26 00:30:00,2023-11-27 07:15:00,5.384,5.432,27.04,29.200000000000003
23127,2023-11-26 00:30:00,2023-11-27 07:15:00,5.384,5.432,27.04,29.200000000000003
23131,2023-12-02 00:30:00,2023-12-03 06:55:00,5.376,5.424,35.12,35.52
23132,2023-12-02 00:30:00,2023-12-03 07:00:00,5.44,5.488,34.080000000000005,32.480000000000004
23133,2023-12-02 00:30:00,2023-12-03 07:00:00,5.44,5.488,34.080000000000005,32.480000000000004
23136,2023-12-16 00:30:00,2023-12-17 07:45:00,5.5200000000000005,5.5200000000000005,40.8,35.68
23137,2023-12-16 00:30:00,2023-12-17 07:45:00,5.5200000000000005,5.5200000000000005,40.8,35.68
23138,2023-12-16 00:30:00,2023-12-18 07:55:00,5.416,5.448,32.24,30.0
23139,2023-12-16 00:30:00,2023-12-18 07:55:00,5.416,5.448,32.24,30.0
24004,2024-01-14 00:30:00,2024-01-15 07:30:00,5.44,5.5200000000000005,31.200000000000003,27.36
24002,2024-01-15 00:30:00,2024-01-16 09:00:00,5.5200000000000005,5.5200000000000005,25.28,26.0
24003,2024-01-15 00:30:00,2024-01-16 09:00:00,5.5200000000000005,5.5200000000000005,25.28,26.0
24005,2024-01-18 00:30:00,2024-01-19 07:15:00,5.36,5.44,28.960000000000004,26.480000000000004
24007,2024-01-18 00:30:00,2024-01-19 07:30:00,5.36,5.36,33.84,34.4
24008,2024-01-18 00:30:00,2024-01-19 07:30:00,5.36,5.36,33.84,34.4
24009,2024-01-21 00:30:00,2024-01-22 07:30:00,5.48,5.5520000000000005,25.680000000000003,27.04
24010,2024-01-25 00:30:00,2024-01-26 07:00:00,5.448,5.504,35.04,24.16
24012,2024-01-21 00:30:00,2024-01-22 07:30:00,5.48,5.5520000000000005,25.680000000000003,27.04
24020,2024-01-25 00:30:00,2024-01-26 07:00:00,5.448,5.504,35.04,24.16
24019,2024-02-01 00:30:00,2024-02-02 07:20:00,5.36,5.5200000000000005,37.04,35.2
24020,2024-01-25 00:30:00,2024-01-26 07:00:00,5.448,5.504,35.04,24.16
24021,2024-02-01 00:30:00,2024-02-02 07:10:00,5.28,5.44,37.68,26.72
24014,2024-02-08 00:30:00,2024-02-09 07:35:00,5.456,5.488,34.480000000000004,34.88
24027,2024-02-08 00:30:00,2024-02-09 07:35:00,5.456,5.488,34.480000000000004,34.88
24031,2024-02-15 00:30:00,2024-02-16 07:30:00,5.488,5.768000000000001,32.96,24.480000000000004
24035,2024-02-29 00:30:00,2024-03-01 07:00:00,5.44,5.448,26.880000000000003,31.12
24036,2024-02-29 00:30:00,2024-03-01 07:00:00,5.44,5.448,26.880000000000003,31.12
24041,2024-03-07 00:30:00,2024-03-08 07:20:00,5.456,5.496,27.6,26.960000000000004
24042,2024-03-07 00:30:00,2024-03-08 07:20:00,5.456,5.496,27.6,26.960000000000004
24043,2024-03-10 00:30:00,2024-03-11 07:15:00,5.5120000000000005,5.5520000000000005,26.08,28.24
24045,2024-03-10 00:30:00,2024-03-11 07:15:00,5.5120000000000005,5.5520000000000005,26.08,28.24
24044,2024-03-14 00:30:00,2024-03-15 07:15:00,5.408,5.424,27.92,24.4
24049,2024-03-14 00:30:00,2024-03-15 07:15:00,5.408,5.424,27.92,24.4
24050,2024-03-21 00:30:00,2024-03-22 07:00:00,5.376,5.488,35.12,27.84
24051,2024-03-21 00:30:00,2024-03-22 07:00:00,5.376,5.488,35.12,27.84
24055,2024-04-11 00:30:00,2024-04-12 07:14:00,5.368,5.416,26.160000000000004,25.52
24056,2024-04-11 00:30:00,2024-04-12 07:14:00,5.368,5.416,26.160000000000004,25.52
24054,2024-04-14 00:30:00,2024-04-15 07:17:00,5.376,5.376,25.680000000000003,29.52
24057,2024-04-14 00:30:00,2024-04-15 07:17:00,5.376,5.376,25.680000000000003,29.52
24060,2024-04-18 00:30:00,2024-04-19 07:46:00,5.344,5.384,26.0,25.44
24061,2024-04-18 00:30:00,2024-04-19 07:46:00,5.344,5.384,26.0,25.44
24063,2024-04-21 00:30:00,2024-04-22 07:19:00,5.36,5.376,25.84,27.84
24064,2024-04-21 00:30:00,2024-04-22 07:19:00,5.36,5.376,25.84,27.84
24067,2024-04-25 00:30:00,2024-04-26 07:17:00,5.5200000000000005,5.5600000000000005,22.4,22.480000000000004
24070,2024-04-25 00:30:00,2024-04-26 07:17:00,5.5200000000000005,5.5600000000000005,22.4,22.480000000000004
24071,2024-04-28 00:30:00,2024-04-29 07:45:00,5.488,6.28,24.880000000000003,27.360000000000003
24072,2024-05-12 00:30:00,2024-05-13 08:16:00,5.424,5.424,25.36,30.960000000000004
24073,2024-05-12 00:30:00,2024-05-13 07:54:00,5.384,5.44,26.960000000000004,25.12
24074,2024-05-16 00:30:00,2024-05-17 07:15:00,5.384,5.408,24.32,27.72
24075,2024-05-12 00:30:00,2024-05-13 07:54:00,5.424,5.424,25.12,26.960000000000004
24076,2024-05-16 00:30:00,2024-05-17 07:15:00,5.384,5.408,24.32,27.72
24077,2024-05-19 00:30:00,2024-05-20 07:14:00,5.384,5.4,27.760000000000005,28.6
24078,2024-05-19 00:30:00,2024-05-20 07:14:00,5.384,5.4,27.760000000000005,28.6
24081,2024-05-26 00:30:00,2024-05-27 08:05:00,5.44,5.496,29.680000000000003,28.960000000000004
24083,2024-05-23 00:30:00,2024-05-24 07:26:00,5.384,5.4,25.84,29.96
24084,2024-05-23 00:30:00,2024-05-24 07:26:00,5.384,5.4,25.84,29.96
24085,2024-05-26 00:30:00,2024-05-27 08:05:00,5.44,5.496,29.680000000000003,28.960000000000004
24088,2024-05-30 00:30:00,2024-05-31 07:46:00,5.472,5.48,30.56,29.680000000000003
24089,2024-05-30 00:30:00,2024-05-31 07:46:00,5.472,5.48,30.56,29.680000000000003
24091,2024-06-02 00:30:00,2024-06-03 07:03:00,5.392,5.424,33.44,32.160000000000004
24092,2024-06-02 00:30:00,2024-06-03 07:03:00,5.392,5.424,33.44,32.160000000000004
24095,2024-06-09 00:30:00,2024-06-10 07:09:00,5.432,5.44,28.72,31.28
24097,2024-06-09 00:30:00,2024-06-10 07:09:00,5.432,5.44,28.72,31.28
24098,2024-06-13 00:30:00,2024-06-14 08:00:00,5.6080000000000005,5.6080000000000005,22.56,20.96
24101,2024-06-27 00:30:00,2024-06-28 07:16:00,5.416,5.424,30.64,32.080000000000005
24103,2024-06-27 00:30:00,2024-06-28 07:16:00,5.416,5.424,30.64,32.080000000000005
24104,2024-06-30 00:30:00,2024-07-01 07:01:00,5.392,5.408,26.64,27.44
24105,2024-06-30 00:30:00,2024-07-01 07:01:00,5.392,5.408,26.64,27.44
24108,2024-07-04 00:30:00,2024-07-05 07:04:00,5.432,5.504,28.8,25.6
24111,2024-07-04 00:30:00,2024-07-05 07:04:00,5.432,5.504,28.8,25.6
