Lote;Material;Lote interno;Lote Proveedor;Qty;Fecha recepción;Fecha traslado
23025;100005;0000723171;M3889;96,184;4/11/22;3/3/23
23025;100006;0000676218;C4837;177,656;7/3/22;17/1/23
23025;100007;0000742567;2202239;8352;9/2/23;23/3/23
23025;100008;0000710843;A1673579;144;5/9/22;27/3/23
23025;100001;0000737133;AM1798471;57,616;12/1/23;22/3/23
23025;100009;0000669097;0002124409;7680;1/2/22;17/3/23
23025;100002;0000676155;K53821835;384,304;7/3/22;15/3/23
23025;100010;0000694159;0002066677;96,36;2/6/22;22/11/22
23025;100011;0000735476;0002219885;3200;3/1/23;15/3/23
23025;100012;0000746149;3009264;7839,8336;27/2/23;24/3/23
23025;100012;0000746139;3009264;32,1664;27/2/23;1/3/23
23025;100004;0000655969;2414151;80;25/11/21;17/3/23
23025;100005;0000723171;M3889;12,04;4/11/22;3/3/23
23025;100006;0000676218;C4837;22,448;7/3/22;17/1/23
23025;100007;0000742567;2202239;2088,8;9/2/23;23/3/23
23025;100008;0000710843;A1673579;17,96;5/9/22;22/3/23
23025;100001;0000737133;AM1798471;7,16;12/1/23;22/3/23
23025;100009;0000669097;0002124409;960,184;1/2/22;17/3/23
23025;100002;0000676155;K53821835;47,968;7/3/22;15/3/23
23025;100010;0000694159;0002066677;12,096;2/6/22;22/11/22
23025;100011;0000735476;0002219885;400,312;3/1/23;15/3/23
23025;100012;0000746139;3009264;1972,8;27/2/23;1/3/23
23026;100001;0000737133;AM1798471;72;12/1/23;22/3/23
23026;100002;0000676155;K53821835;72,36;7/3/22;15/3/23
23026;100003;0000644272;0005070897;4800;4/10/21;24/3/23
23026;100004;0000655974;2414142;320;25/11/21;23/3/23
23026;100005;0000723171;M3889;96;4/11/22;3/3/23
23026;100006;0000676218;C4837;177,6;7/3/22;17/1/23
23026;100007;0000742567;2202239;8352;9/2/23;23/3/23
23026;100008;0000710843;A1673579;144;5/9/22;27/3/23
23026;100001;0000737133;AM1798471;57,6;12/1/23;22/3/23
23026;100009;0000669097;0002124409;7222,096;1/2/22;17/3/23
23026;100009;0000719593;0002231404;457,904;17/10/22;28/3/23
23026;100002;0000676155;K53821835;383,2;7/3/22;15/3/23
23026;100010;0000694159;0002066677;96;2/6/22;22/11/22
23026;100011;0000737873;0002246451;2202,464;17/1/23;27/3/23
23026;100011;0000735476;0002219885;997,536;3/1/23;15/3/23
23026;100012;0000746149;3009264;7596,456;27/2/23;24/3/23
23026;100012;0000746139;3009264;275,544;27/2/23;1/3/23
23026;100004;0000655969;2414151;80;25/11/21;17/3/23
23026;100005;0000723171;M3889;12,04;4/11/22;3/3/23
23026;100006;0000676218;C4837;22,448;7/3/22;17/1/23
23026;100007;0000742567;2202239;2088,8;9/2/23;23/3/23
23026;100008;0000710843;A1673579;17,96;5/9/22;22/3/23
23026;100001;0000737133;AM1798471;7,16;12/1/23;22/3/23
23026;100009;0000669097;0002124409;960,184;1/2/22;17/3/23
23026;100002;0000676155;K53821835;47,968;7/3/22;15/3/23
23026;100010;0000694159;0002066677;12,096;2/6/22;22/11/22
23026;100011;0000735476;0002219885;400,312;3/1/23;15/3/23
23026;100012;0000746139;3009264;1972,8;27/2/23;1/3/23
23027;100001;0000737133;AM1798471;72,072;12/1/23;22/3/23
23027;100002;0000676155;K53821835;72,088;7/3/22;15/3/23
23027;100003;0000644272;0005070897;4800;4/10/21;15/5/23
23027;100004;0000655974;2414142;316,8;25/11/21;23/3/23
23027;100005;0000723171;M3889;96,456;4/11/22;3/3/23
23027;100006;0000676218;C4837;177,896;7/3/22;4/7/23
23027;100007;0000742567;2202239;8352;9/2/23;23/3/23
23027;100008;0000710843;A1673579;144,536;5/9/22;27/3/23
23027;100001;0000737133;AM1798471;57,792;12/1/23;22/3/23
23027;100009;0000719593;0002231404;7680;17/10/22;19/5/23
23027;100002;0000676155;K53821835;384,296;7/3/22;26/7/23
23027;100010;0000736921;0002235436;96,096;11/1/23;7/7/23
23027;100011;0000737873;0002246451;3200;17/1/23;22/5/23
23027;100012;0000746149;3009264;7872;27/2/23;12/6/23
23027;100004;0000655974;2414142;44,8;25/11/21;23/3/23
23027;100004;0000655969;2414151;3,2;25/11/21;17/3/23
23027;100005;0000723171;M3889;7,2;4/11/22;3/3/23
23027;100006;0000676218;C4837;13,44;7/3/22;17/1/23
23027;100007;0000742567;2202239;1253,04;9/2/23;23/3/23
23027;100008;0000710843;A1673579;10,8;5/9/22;27/3/23
23027;100001;0000737133;AM1798471;4,32;12/1/23;22/3/23
23027;100009;0000719593;0002231404;576,8;17/10/22;28/3/23
23027;100002;0000676155;K53821835;28,96;7/3/22;15/3/23
23027;100010;0000736921;0002235436;7,2;11/1/23;24/3/23
23027;100011;0000737873;0002246451;240;17/1/23;27/3/23
23027;100012;0000746149;3009264;1180,8;27/2/23;30/3/23
23028;100001;0000737133;AM1798471;72,04;12/1/23;22/3/23
23028;100002;0000676155;K53821835;72,712;7/3/22;15/3/23
23028;100003;0000644272;0005070897;4800;4/10/21;24/3/23
23028;100004;0000655977;2414144;188,4;25/11/21;30/3/23
23028;100004;0000655974;2414142;131,6;25/11/21;23/3/23
23028;100005;0000723171;M3889;96,184;4/11/22;3/3/23
23028;100006;0000676218;C4837;177,696;7/3/22;17/1/23
23028;100007;0000742567;2202239;8352;9/2/23;23/3/23
23028;100008;0000710843;A1673579;144,096;5/9/22;27/3/23
23028;100001;0000737133;AM1798471;57,68;12/1/23;22/3/23
23028;100009;0000719593;0002231404;7680;17/10/22;28/3/23
23028;100002;0000676155;K53821835;386,848;7/3/22;15/3/23
23028;100010;0000736921;0002235436;96,04;11/1/23;24/3/23
23028;100011;0000737873;0002246451;3200;17/1/23;27/3/23
23028;100012;0000746149;3009264;7872;27/2/23;30/3/23
23028;100004;0000655974;2414142;44,8;25/11/21;23/3/23
23028;100004;0000655969;2414151;3,2;25/11/21;17/3/23
23028;100005;0000723171;M3889;7,2;4/11/22;3/3/23
23028;100006;0000676218;C4837;13,44;7/3/22;17/1/23
23028;100007;0000742567;2202239;1253,04;9/2/23;23/3/23
23028;100008;0000710843;A1673579;10,8;5/9/22;27/3/23
23028;100001;0000737133;AM1798471;4,32;12/1/23;22/3/23
23028;100009;0000719593;0002231404;576,8;17/10/22;28/3/23
23028;100002;0000676155;K53821835;28,96;7/3/22;15/3/23
23028;100010;0000736921;0002235436;7,2;11/1/23;24/3/23
23028;100011;0000737873;0002246451;240;17/1/23;27/3/23
23028;100012;0000746149;3009264;1180,8;27/2/23;30/3/23
23029;100001;0000737133;AM1798471;76,8;12/1/23;22/3/23
23029;100002;0000676155;K53821835;76,8;7/3/22;6/4/23
23029;100003;0000644272;0005070897;4800;4/10/21;5/4/23
23029;100004;0000655977;2414144;316,8;25/11/21;30/3/23
23029;100005;0000723171;M3889;96;4/11/22;3/3/23
23029;100006;0000676218;C4837;177,744;7/3/22;17/1/23
23029;100007;0000736215;2202239;8000;9/1/23;3/4/23
23029;100007;0000742567;2202239;352;9/2/23;23/3/23
23029;100008;0000710843;A1673579;144,36;5/9/22;27/3/23
23029;100001;0000737133;AM1798471;57,696;12/1/23;22/3/23
23029;100009;0000719593;0002231404;7688;17/10/22;12/4/23
23029;100002;0000676155;K53821835;385,6;7/3/22;6/4/23
23029;100010;0000736921;0002235436;96;11/1/23;24/3/23
23029;100011;0000737873;0002246451;3200;17/1/23;13/4/23
23029;100012;0000746149;3009264;7872;27/2/23;12/4/23
23029;100004;0000655977;2414144;80;25/11/21;30/3/23
23029;100005;0000723171;M3889;11,936;4/11/22;3/3/23
23029;100006;0000676218;C4837;22,536;7/3/22;17/1/23
23029;100007;0000742567;2202239;2088,04;9/2/23;23/3/23
23029;100008;0000710843;A1673579;18,024;5/9/22;27/3/23
23029;100001;0000737133;AM1798471;7,208;12/1/23;22/3/23
23029;100009;0000719593;0002231404;960,296;17/10/22;12/4/23
23029;100002;0000676155;K53821835;48,08;7/3/22;6/4/23
23029;100010;0000736921;0002235436;12,048;11/1/23;24/3/23
23029;100011;0000737873;0002246451;400,736;17/1/23;13/4/23
23029;100012;0000746149;3009264;1968;27/2/23;12/4/23
23030;100001;0000737133;AM1798471;72;12/1/23;22/3/23
23030;100002;0000676155;K53821835;72;7/3/22;6/4/23
23030;100003;0000644272;0005070897;4800;4/10/21;5/4/23
23030;100004;0000655977;2414144;318,4;25/11/21;30/3/23
23030;100005;0000723171;M3889;96;4/11/22;3/3/23
23030;100006;0000676218;C4837;177,6;7/3/22;17/1/23
23030;100007;0000736215;2202239;8000;9/1/23;3/4/23
23030;100007;0000742567;2202239;352;9/2/23;23/3/23
23030;100008;0000710843;A1673579;144;5/9/22;27/3/23
23030;100001;0000737133;AM1798471;57,608;12/1/23;22/3/23
23030;100009;0000719593;0002231404;7680;17/10/22;12/4/23
23030;100002;0000676155;K53821835;384;7/3/22;6/4/23
23030;100010;0000736921;0002235436;96;11/1/23;24/3/23
23030;100011;0000737873;0002246451;3200;17/1/23;13/4/23
23030;100012;0000746149;3009264;7872;27/2/23;12/4/23
23030;100004;0000655977;2414144;80;25/11/21;30/3/23
23030;100005;0000723171;M3889;11,936;4/11/22;3/3/23
23030;100006;0000676218;C4837;22,536;7/3/22;17/1/23
23030;100007;0000742567;2202239;2088,04;9/2/23;23/3/23
23030;100008;0000710843;A1673579;18,024;5/9/22;27/3/23
23030;100001;0000737133;AM1798471;7,208;12/1/23;22/3/23
23030;100009;0000719593;0002231404;960,296;17/10/22;12/4/23
23030;100002;0000676155;K53821835;48,08;7/3/22;6/4/23
23030;100010;0000736921;0002235436;12,048;11/1/23;24/3/23
23030;100011;0000737873;0002246451;400,736;17/1/23;13/4/23
23030;100012;0000746149;3009264;1968;27/2/23;12/4/23
23031;100001;0000737133;AM1798471;76,8;12/1/23;22/3/23
23031;100002;0000676155;K53821835;76,8;7/3/22;6/4/23
23031;100003;0000644272;0005070897;4800;4/10/21;5/4/23
23031;100004;0000655977;2414144;316,8;25/11/21;30/3/23
23031;100005;0000723171;M3889;96;4/11/22;3/3/23
23031;100006;0000676218;C4837;176;7/3/22;17/1/23
23031;100007;0000736215;2202239;8000;9/1/23;3/4/23
23031;100007;0000742567;2202239;352;9/2/23;23/3/23
23031;100008;0000710843;A1673579;143,216;5/9/22;27/3/23
23031;100001;0000737133;AM1798471;57,608;12/1/23;22/3/23
23031;100009;0000719593;0002231404;7680;17/10/22;12/4/23
23031;100002;0000676155;K53821835;384,072;7/3/22;6/4/23
23031;100010;0000736921;0002235436;96,072;11/1/23;24/3/23
23031;100011;0000737873;0002246451;3200;17/1/23;17/4/23
23031;100012;0000746149;3009264;7872;27/2/23;12/4/23
23032;100001;0000737133;AM1798471;72;12/1/23;22/3/23
23032;100002;0000676155;K53821835;72;7/3/22;6/4/23
23032;100003;0000644272;0005070897;4800;4/10/21;5/4/23
23032;100004;0000655977;2414144;178;25/11/21;30/3/23
23032;100004;0000655980;2414141;138,8;25/11/21;6/4/23
23032;100005;0000723171;M3889;96,072;4/11/22;3/3/23
23032;100006;0000676218;C4837;177,6088;7/3/22;17/1/23
23032;100007;0000736215;2202239;8000;9/1/23;3/4/23
23032;100007;0000742567;2202239;352;9/2/23;23/3/23
23032;100008;0000710843;A1673579;144;5/9/22;27/3/23
23032;100001;0000737133;AM1798471;57,616;12/1/23;22/3/23
23032;100009;0000719593;0002231404;7680;17/10/22;12/4/23
23032;100002;0000676155;K53821835;384;7/3/22;6/4/23
23032;100010;0000736921;0002235436;96;11/1/23;24/3/23
23032;100011;0000737873;0002246451;3200;17/1/23;17/4/23
23032;100012;0000746149;3009264;7872;27/2/23;12/4/23
23033;100001;0000751297;88844;223,52;21/3/23;18/4/23
23033;100002;0000676155;K53821835;223,2;7/3/22;6/4/23
23033;100003;0000644272;0005070897;4800;4/10/21;20/4/23
23033;100004;0000655980;2414141;316,8;25/11/21;6/4/23
23033;100005;0000723171;M3889;96,8;4/11/22;3/3/23
23033;100006;0000676218;C4837;177,944;7/3/22;17/1/23
23033;100007;0000736215;2202239;8352;9/1/23;3/4/23
23033;100008;0000710843;A1673579;143,976;5/9/22;27/3/23
23033;100001;0000737133;AM1798471;57,608;12/1/23;22/3/23
23033;100009;0000719593;0002231404;7688;17/10/22;18/4/23
23033;100002;0000676155;K53821835;386,4;7/3/22;6/4/23
23033;100010;0000736921;0002235436;96,56;11/1/23;24/3/23
23033;100011;0000737873;0002246451;3200;17/1/23;18/4/23
23033;100012;0000746149;3009264;7872;27/2/23;12/4/23
23033;100004;0000655980;2414141;67,2;25/11/21;6/4/23
23033;100005;0000723171;M3889;10,08;4/11/22;3/3/23
23033;100006;0000676218;C4837;18,824;7/3/22;17/1/23
23033;100007;0000736215;2202239;1753,6;9/1/23;3/4/23
23033;100008;0000710843;A1673579;15,168;5/9/22;27/3/23
23033;100001;0000737133;AM1798471;6,048;12/1/23;22/3/23
23033;100009;0000719593;0002231404;806,4;17/10/22;18/4/23
23033;100002;0000676155;K53821835;40,328;7/3/22;6/4/23
23033;100010;0000736921;0002235436;10,08;11/1/23;24/3/23
23033;100011;0000737873;0002246451;336;17/1/23;18/4/23
23033;100012;0000746149;3009264;1668,8;27/2/23;12/4/23
23034;100001;0000751297;88844;223,52;21/3/23;18/4/23
23034;100002;0000676155;K53821835;223,2;7/3/22;6/4/23
23034;100003;0000644272;0005070897;4800;4/10/21;20/4/23
23034;100004;0000655980;2414141;316,8;25/11/21;6/4/23
23034;100005;0000723171;M3889;96,072;4/11/22;3/3/23
23034;100006;0000676218;C4837;177,792;7/3/22;17/1/23
23034;100007;0000736215;2202239;8352;9/1/23;3/4/23
23034;100008;0000710843;A1673579;144,816;5/9/22;27/3/23
23034;100001;0000737133;AM1798471;57,616;12/1/23;22/3/23
23034;100009;0000719593;0002231404;7680;17/10/22;18/4/23
23034;100002;0000676155;K53821835;383,968;7/3/22;6/4/23
23034;100010;0000736921;0002235436;96,072;11/1/23;24/4/23
23034;100011;0000737873;0002246451;3200,184;17/1/23;18/4/23
23034;100012;0000746149;3009264;7872;27/2/23;12/4/23
23034;100004;0000655980;2414141;67,2;25/11/21;6/4/23
23034;100005;0000723171;M3889;10,08;4/11/22;3/3/23
23034;100006;0000676218;C4837;18,824;7/3/22;17/1/23
23034;100007;0000736215;2202239;1753,6;9/1/23;3/4/23
23034;100008;0000710843;A1673579;15,168;5/9/22;27/3/23
23034;100001;0000737133;AM1798471;6,048;12/1/23;22/3/23
23034;100009;0000719593;0002231404;806,4;17/10/22;18/4/23
23034;100002;0000676155;K53821835;40,328;7/3/22;6/4/23
23034;100010;0000736921;0002235436;10,08;11/1/23;24/3/23
23034;100011;0000737873;0002246451;336;17/1/23;18/4/23
23034;100012;0000746149;3009264;1668,8;27/2/23;12/4/23
23035;100001;0000751297;88844;223,52;21/3/23;18/4/23
23035;100002;0000676155;K53821835;223,2;7/3/22;6/4/23
23035;100003;0000644272;0005070897;4800;4/10/21;20/4/23
23035;100004;0000655980;2414141;316,8;25/11/21;6/4/23
23035;100005;0000723171;M3889;96,056;4/11/22;3/3/23
23035;100006;0000676218;C4837;177,632;7/3/22;17/1/23
23035;100007;0000736215;2202239;8352;9/1/23;3/4/23
23035;100008;0000710843;A1673579;144,032;5/9/22;27/3/23
23035;100001;0000737133;AM1798471;57,632;12/1/23;22/3/23
23035;100009;0000719593;0002231404;7680;17/10/22;18/4/23
23035;100002;0000676155;K53821835;384,184;7/3/22;6/4/23
23035;100010;0000736921;0002235436;96,744;11/1/23;24/4/23
23035;100011;0000737873;0002246451;3200,376;17/1/23;18/4/23
23035;100012;0000746149;3009264;7872;27/2/23;12/4/23
23035;100004;0000655980;2414141;67,2;25/11/21;6/4/23
23035;100005;0000723171;M3889;10,08;4/11/22;3/3/23
23035;100006;0000676218;C4837;18,824;7/3/22;17/1/23
23035;100007;0000736215;2202239;1753,6;9/1/23;3/4/23
23035;100008;0000710843;A1673579;15,168;5/9/22;27/3/23
23035;100001;0000737133;AM1798471;6,048;12/1/23;22/3/23
23035;100009;0000719593;0002231404;806,4;17/10/22;18/4/23
23035;100002;0000676155;K53821835;40,328;7/3/22;6/4/23
23035;100010;0000736921;0002235436;10,08;11/1/23;24/3/23
23035;100011;0000737873;0002246451;336;17/1/23;18/4/23
23035;100012;0000746149;3009264;1668,8;27/2/23;12/4/23
23036;100001;0000751297;88844;72;21/3/23;18/4/23
23036;100002;0000676155;K53821835;72,088;7/3/22;6/4/23
23036;100003;0000644272;0005070897;4800;4/10/21;5/5/23
23036;100004;0000657923;2414152;207,2;7/12/21;28/4/23
23036;100004;0000655980;2414141;112,8;25/11/21;6/4/23
23036;100005;0000723171;M3889;96,088;4/11/22;3/3/23
23036;100006;0000676218;C4837;177,616;7/3/22;17/1/23
23036;100007;0000736215;2202239;8352;9/1/23;3/4/23
23036;100008;0000710843;A1673579;144;5/9/22;27/3/23
23036;100001;0000751297;88844;57,624;21/3/23;18/4/23
23036;100009;0000719593;0002231404;7680;17/10/22;4/5/23
23036;100002;0000676155;K53821835;384,368;7/3/22;6/4/23
23036;100010;0000736921;0002235436;96,104;11/1/23;24/4/23
23036;100011;0000737873;0002246451;3200;17/1/23;4/5/23
23036;100012;0000755318;3009264;7872;11/4/23;28/4/23
23036;100004;0000657923;2414152;79,2;7/12/21;28/4/23
23036;100005;0000723171;M3889;12,008;4/11/22;3/3/23
23036;100006;0000676218;C4837;22,392;7/3/22;17/1/23
23036;100007;0000736215;2202239;2089,584;9/1/23;3/4/23
23036;100008;0000729570;A1673579;18,08;30/11/22;11/5/23
23036;100001;0000751297;88844;7,224;21/3/23;18/4/23
23036;100009;0000719593;0002231404;960;17/10/22;4/5/23
23036;100002;0000676155;K53821835;48,232;7/3/22;6/4/23
23036;100010;0000736921;0002235436;12,016;11/1/23;15/5/23
23036;100011;0000737873;0002246451;399,64;17/1/23;18/5/23
23036;100012;0000746165;3009264;1968;27/2/23;17/5/23
23037;100001;0000751297;88844;72;21/3/23;18/4/23
23037;100002;0000676155;K53821835;72;7/3/22;6/4/23
23037;100003;0000644272;0005070897;4800;4/10/21;5/5/23
23037;100004;0000657923;2414152;320;7/12/21;28/4/23
23037;100005;0000723171;M3889;96;4/11/22;3/3/23
23037;100006;0000676218;C4837;177,6;7/3/22;17/1/23
23037;100007;0000736215;2202239;8352;9/1/23;3/4/23
23037;100008;0000710843;A1673579;144;5/9/22;27/3/23
23037;100001;0000751297;88844;57,608;21/3/23;18/4/23
23037;100009;0000719593;0002231404;7680;17/10/22;4/5/23
23037;100002;0000676155;K53821835;384;7/3/22;6/4/23
23037;100010;0000736921;0002235436;96;11/1/23;24/4/23
23037;100011;0000737873;0002246451;3200;17/1/23;4/5/23
23037;100012;0000755318;3009264;7872;11/4/23;28/4/23
23037;100004;0000657923;2414152;79,2;7/12/21;28/4/23
23037;100005;0000723171;M3889;12,008;4/11/22;3/3/23
23037;100006;0000676218;C4837;22,392;7/3/22;17/1/23
23037;100007;0000736215;2202239;2089,584;9/1/23;3/4/23
23037;100008;0000729570;A1673579;18,08;30/11/22;11/5/23
23037;100001;0000751297;88844;7,224;21/3/23;18/4/23
23037;100009;0000719593;0002231404;960;17/10/22;4/5/23
23037;100002;0000676155;K53821835;48,232;7/3/22;6/4/23
23037;100010;0000736921;0002235436;12,016;11/1/23;15/5/23
23037;100011;0000737873;0002246451;399,64;17/1/23;18/5/23
23037;100012;0000746165;3009264;1968;27/2/23;17/5/23
23039;100001;0000751297;88844;72,032;21/3/23;18/4/23
23039;100002;0000676155;K53821835;71,88;7/3/22;6/4/23
23039;100003;0000644272;0005070897;4800;4/10/21;5/5/23
