LOTE,MATERIAL,LOTE_INTERNO,LOTE_PROVEEDOR,QTY,FECHA_RECEPCION,FECHA_TRASLADO
23020,100002,676155,K53821835,48.32,2022-03-07 00:00:00,2023-03-15 00:00:00
23020,100010,694159,0002066677,12.08,2022-06-02 00:00:00,2022-11-22 00:00:00
23020,100011,735476,0002219885,399.992,2023-01-03 00:00:00,2023-03-15 00:00:00
23020,100012,746139,3009264,1969.6,2023-02-27 00:00:00,2023-03-01 00:00:00
23021,100001,737133,AM1798471,72.0,2023-01-12 00:00:00,2023-03-22 00:00:00
23021,100002,676155,K53821835,72.0,2022-03-07 00:00:00,2023-03-15 00:00:00
23021,100003,636590,0005065337,4800.0,2021-08-27 00:00:00,2023-03-13 00:00:00
23021,100004,655969,2414151,316.8,2021-11-25 00:00:00,2023-03-17 00:00:00
23021,100005,723171,M3889,96.0,2022-11-04 00:00:00,2023-03-03 00:00:00
23021,100006,676218,C4837,177.60000000000002,2022-03-07 00:00:00,2023-01-17 00:00:00
23021,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-15 00:00:00
23021,100008,710843,A1673579,144.0,2022-09-05 00:00:00,2023-03-02 00:00:00
23021,100001,737133,AM1798471,57.6,2023-01-12 00:00:00,2023-03-02 00:00:00
23021,100009,669097,0002124409,7688.0,2022-02-01 00:00:00,2023-03-17 00:00:00
23021,100002,676155,K53821835,384.0,2022-03-07 00:00:00,2023-03-15 00:00:00
23021,100010,694159,0002066677,96.0,2022-06-02 00:00:00,2022-11-22 00:00:00
23021,100011,735476,0002219885,3200.0,2023-01-03 00:00:00,2023-03-15 00:00:00
23021,100012,746139,3009264,7872.0,2023-02-27 00:00:00,2023-03-01 00:00:00
23021,100004,655968,2414150,80.0,2021-11-25 00:00:00,2023-03-10 00:00:00
23021,100005,723171,M3889,12.08,2022-11-04 00:00:00,2023-03-03 00:00:00
23021,100006,676218,C4837,22.464,2022-03-07 00:00:00,2023-01-17 00:00:00
23021,100007,742567,2202239,2088.0,2023-02-09 00:00:00,2023-03-15 00:00:00
23021,100008,710843,A1673579,18.08,2022-09-05 00:00:00,2023-03-02 00:00:00
23021,100001,737133,AM1798471,7.248000000000001,2023-01-12 00:00:00,2023-03-02 00:00:00
23021,100009,669097,0002124409,959.984,2022-02-01 00:00:00,2023-03-10 00:00:00
23021,100002,676155,K53821835,48.32,2022-03-07 00:00:00,2023-03-15 00:00:00
23021,100010,694159,0002066677,12.08,2022-06-02 00:00:00,2022-11-22 00:00:00
23021,100011,735476,0002219885,399.992,2023-01-03 00:00:00,2023-03-15 00:00:00
23021,100012,746139,3009264,1969.6,2023-02-27 00:00:00,2023-03-01 00:00:00
23022,100001,737133,AM1798471,72.704,2023-01-12 00:00:00,2023-03-22 00:00:00
23022,100002,676155,K53821835,72.024,2022-03-07 00:00:00,2023-03-15 00:00:00
23022,100003,636590,0005065337,4800.0,2021-08-27 00:00:00,2023-03-13 00:00:00
23022,100004,655969,2414151,316.8,2021-11-25 00:00:00,2023-03-17 00:00:00
23022,100005,723171,M3889,96.0,2022-11-04 00:00:00,2023-03-03 00:00:00
23022,100006,676218,C4837,177.60000000000002,2022-03-07 00:00:00,2023-01-17 00:00:00
23022,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-15 00:00:00
23022,100008,710843,A1673579,144.0,2022-09-05 00:00:00,2023-03-02 00:00:00
23022,100001,737133,AM1798471,57.6,2023-01-12 00:00:00,2023-03-02 00:00:00
23022,100009,669097,0002124409,7680.0,2022-02-01 00:00:00,2023-03-17 00:00:00
23022,100002,676155,K53821835,384.0,2022-03-07 00:00:00,2023-03-15 00:00:00
23022,100010,694159,0002066677,96.0,2022-06-02 00:00:00,2022-11-22 00:00:00
23022,100011,735476,0002219885,3200.0,2023-01-03 00:00:00,2023-03-15 00:00:00
23022,100012,746139,3009264,7872.0,2023-02-27 00:00:00,2023-03-01 00:00:00
23022,100004,655968,2414150,80.0,2021-11-25 00:00:00,2023-03-10 00:00:00
23022,100005,723171,M3889,12.08,2022-11-04 00:00:00,2023-03-03 00:00:00
23022,100006,676218,C4837,22.464,2022-03-07 00:00:00,2023-01-17 00:00:00
23022,100007,742567,2202239,2088.0,2023-02-09 00:00:00,2023-03-15 00:00:00
23022,100008,710843,A1673579,18.08,2022-09-05 00:00:00,2023-03-02 00:00:00
23022,100001,737133,AM1798471,7.248000000000001,2023-01-12 00:00:00,2023-03-02 00:00:00
23022,100009,669097,0002124409,959.984,2022-02-01 00:00:00,2023-03-10 00:00:00
23022,100002,676155,K53821835,48.32,2022-03-07 00:00:00,2023-03-15 00:00:00
23022,100010,694159,0002066677,12.08,2022-06-02 00:00:00,2022-11-22 00:00:00
23022,100011,735476,0002219885,399.992,2023-01-03 00:00:00,2023-03-15 00:00:00
23022,100012,746139,3009264,1969.6,2023-02-27 00:00:00,2023-03-01 00:00:00
23024,100001,737133,AM1798471,71.92,2023-01-12 00:00:00,2023-03-22 00:00:00
23024,100002,676155,K53821835,72.24,2022-03-07 00:00:00,2023-03-15 00:00:00
23024,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-03-24 00:00:00
23024,100004,655974,2414142,247.6,2021-11-25 00:00:00,2023-03-23 00:00:00
23024,100004,655969,2414151,72.4,2021-11-25 00:00:00,2023-03-17 00:00:00
23024,100005,723171,M3889,96.072,2022-11-04 00:00:00,2023-03-03 00:00:00
23024,100006,676218,C4837,177.62400000000002,2022-03-07 00:00:00,2023-01-17 00:00:00
23024,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23024,100008,710843,A1673579,144.048,2022-09-05 00:00:00,2023-03-27 00:00:00
23024,100001,737133,AM1798471,57.608,2023-01-12 00:00:00,2023-03-22 00:00:00
23024,100009,669097,0002124409,7680.0,2022-02-01 00:00:00,2023-03-17 00:00:00
23024,100002,676155,K53821835,384.448,2022-03-07 00:00:00,2023-03-15 00:00:00
23024,100010,694159,0002066677,96.912,2022-06-02 00:00:00,2022-11-22 00:00:00
23024,100011,735476,0002219885,3200.0,2023-01-03 00:00:00,2023-03-15 00:00:00
23024,100012,746139,3009264,7872.0,2023-02-27 00:00:00,2023-03-01 00:00:00
23024,100004,655969,2414151,80.0,2021-11-25 00:00:00,2023-03-17 00:00:00
23024,100005,723171,M3889,12.04,2022-11-04 00:00:00,2023-03-03 00:00:00
23024,100006,676218,C4837,22.448,2022-03-07 00:00:00,2023-01-17 00:00:00
23024,100007,742567,2202239,2088.8,2023-02-09 00:00:00,2023-03-23 00:00:00
23024,100008,710843,A1673579,17.96,2022-09-05 00:00:00,2023-03-22 00:00:00
23024,100001,737133,AM1798471,7.16,2023-01-12 00:00:00,2023-03-22 00:00:00
23024,100009,669097,0002124409,960.184,2022-02-01 00:00:00,2023-03-17 00:00:00
23024,100002,676155,K53821835,47.968,2022-03-07 00:00:00,2023-03-15 00:00:00
23024,100010,694159,0002066677,12.096,2022-06-02 00:00:00,2022-11-22 00:00:00
23024,100011,735476,0002219885,400.312,2023-01-03 00:00:00,2023-03-15 00:00:00
23024,100012,746139,3009264,1972.8,2023-02-27 00:00:00,2023-03-01 00:00:00
23025,100001,737133,AM1798471,72.72000000000001,2023-01-12 00:00:00,2023-03-22 00:00:00
23025,100002,676155,K53821835,72.32000000000001,2022-03-07 00:00:00,2023-03-15 00:00:00
23025,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-03-24 00:00:00
23025,100004,655974,2414142,318.40000000000003,2021-11-25 00:00:00,2023-03-23 00:00:00
23025,100005,723171,M3889,96.184,2022-11-04 00:00:00,2023-03-03 00:00:00
23025,100006,676218,C4837,177.656,2022-03-07 00:00:00,2023-01-17 00:00:00
23025,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23025,100008,710843,A1673579,144.0,2022-09-05 00:00:00,2023-03-27 00:00:00
23025,100001,737133,AM1798471,57.616,2023-01-12 00:00:00,2023-03-22 00:00:00
23025,100009,669097,0002124409,7680.0,2022-02-01 00:00:00,2023-03-17 00:00:00
23025,100002,676155,K53821835,384.304,2022-03-07 00:00:00,2023-03-15 00:00:00
23025,100010,694159,0002066677,96.36,2022-06-02 00:00:00,2022-11-22 00:00:00
23025,100011,735476,0002219885,3200.0,2023-01-03 00:00:00,2023-03-15 00:00:00
23025,100012,746149,3009264,7839.8336,2023-02-27 00:00:00,2023-03-24 00:00:00
23025,100012,746139,3009264,32.1664,2023-02-27 00:00:00,2023-03-01 00:00:00
23025,100004,655969,2414151,80.0,2021-11-25 00:00:00,2023-03-17 00:00:00
23025,100005,723171,M3889,12.04,2022-11-04 00:00:00,2023-03-03 00:00:00
23025,100006,676218,C4837,22.448,2022-03-07 00:00:00,2023-01-17 00:00:00
23025,100007,742567,2202239,2088.8,2023-02-09 00:00:00,2023-03-23 00:00:00
23025,100008,710843,A1673579,17.96,2022-09-05 00:00:00,2023-03-22 00:00:00
23025,100001,737133,AM1798471,7.16,2023-01-12 00:00:00,2023-03-22 00:00:00
23025,100009,669097,0002124409,960.184,2022-02-01 00:00:00,2023-03-17 00:00:00
23025,100002,676155,K53821835,47.968,2022-03-07 00:00:00,2023-03-15 00:00:00
23025,100010,694159,0002066677,12.096,2022-06-02 00:00:00,2022-11-22 00:00:00
23025,100011,735476,0002219885,400.312,2023-01-03 00:00:00,2023-03-15 00:00:00
23025,100012,746139,3009264,1972.8,2023-02-27 00:00:00,2023-03-01 00:00:00
23026,100001,737133,AM1798471,72.0,2023-01-12 00:00:00,2023-03-22 00:00:00
23026,100002,676155,K53821835,72.36,2022-03-07 00:00:00,2023-03-15 00:00:00
23026,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-03-24 00:00:00
23026,100004,655974,2414142,320.0,2021-11-25 00:00:00,2023-03-23 00:00:00
23026,100005,723171,M3889,96.0,2022-11-04 00:00:00,2023-03-03 00:00:00
23026,100006,676218,C4837,177.60000000000002,2022-03-07 00:00:00,2023-01-17 00:00:00
23026,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23026,100008,710843,A1673579,144.0,2022-09-05 00:00:00,2023-03-27 00:00:00
23026,100001,737133,AM1798471,57.6,2023-01-12 00:00:00,2023-03-22 00:00:00
23026,100009,669097,0002124409,7222.096000000001,2022-02-01 00:00:00,2023-03-17 00:00:00
23026,100009,719593,0002231404,457.904,2022-10-17 00:00:00,2023-03-28 00:00:00
23026,100002,676155,K53821835,383.2000000000001,2022-03-07 00:00:00,2023-03-15 00:00:00
23026,100010,694159,0002066677,96.0,2022-06-02 00:00:00,2022-11-22 00:00:00
23026,100011,737873,0002246451,2202.464,2023-01-17 00:00:00,2023-03-27 00:00:00
23026,100011,735476,0002219885,997.536,2023-01-03 00:00:00,2023-03-15 00:00:00
23026,100012,746149,3009264,7596.456,2023-02-27 00:00:00,2023-03-24 00:00:00
23026,100012,746139,3009264,275.54400000000004,2023-02-27 00:00:00,2023-03-01 00:00:00
23026,100004,655969,2414151,80.0,2021-11-25 00:00:00,2023-03-17 00:00:00
23026,100005,723171,M3889,12.04,2022-11-04 00:00:00,2023-03-03 00:00:00
23026,100006,676218,C4837,22.448,2022-03-07 00:00:00,2023-01-17 00:00:00
23026,100007,742567,2202239,2088.8,2023-02-09 00:00:00,2023-03-23 00:00:00
23026,100008,710843,A1673579,17.96,2022-09-05 00:00:00,2023-03-22 00:00:00
23026,100001,737133,AM1798471,7.16,2023-01-12 00:00:00,2023-03-22 00:00:00
23026,100009,669097,0002124409,960.184,2022-02-01 00:00:00,2023-03-17 00:00:00
23026,100002,676155,K53821835,47.968,2022-03-07 00:00:00,2023-03-15 00:00:00
23026,100010,694159,0002066677,12.096,2022-06-02 00:00:00,2022-11-22 00:00:00
23026,100011,735476,0002219885,400.312,2023-01-03 00:00:00,2023-03-15 00:00:00
23026,100012,746139,3009264,1972.8,2023-02-27 00:00:00,2023-03-01 00:00:00
23027,100001,737133,AM1798471,72.072,2023-01-12 00:00:00,2023-03-22 00:00:00
23027,100002,676155,K53821835,72.08800000000001,2022-03-07 00:00:00,2023-03-15 00:00:00
23027,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-05-15 00:00:00
23027,100004,655974,2414142,316.8,2021-11-25 00:00:00,2023-03-23 00:00:00
23027,100005,723171,M3889,96.456,2022-11-04 00:00:00,2023-03-03 00:00:00
23027,100006,676218,C4837,177.89600000000002,2022-03-07 00:00:00,2023-07-04 00:00:00
23027,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23027,100008,710843,A1673579,144.536,2022-09-05 00:00:00,2023-03-27 00:00:00
23027,100001,737133,AM1798471,57.792,2023-01-12 00:00:00,2023-03-22 00:00:00
23027,100009,719593,0002231404,7680.0,2022-10-17 00:00:00,2023-05-19 00:00:00
23027,100002,676155,K53821835,384.2960000000001,2022-03-07 00:00:00,2023-07-26 00:00:00
23027,100010,736921,0002235436,96.096,2023-01-11 00:00:00,2023-07-07 00:00:00
23027,100011,737873,0002246451,3200.0,2023-01-17 00:00:00,2023-05-22 00:00:00
23027,100012,746149,3009264,7872.0,2023-02-27 00:00:00,2023-06-12 00:00:00
23027,100004,655974,2414142,44.8,2021-11-25 00:00:00,2023-03-23 00:00:00
23027,100004,655969,2414151,3.2,2021-11-25 00:00:00,2023-03-17 00:00:00
23027,100005,723171,M3889,7.2,2022-11-04 00:00:00,2023-03-03 00:00:00
23027,100006,676218,C4837,13.44,2022-03-07 00:00:00,2023-01-17 00:00:00
23027,100007,742567,2202239,1253.04,2023-02-09 00:00:00,2023-03-23 00:00:00
23027,100008,710843,A1673579,10.8,2022-09-05 00:00:00,2023-03-27 00:00:00
23027,100001,737133,AM1798471,4.32,2023-01-12 00:00:00,2023-03-22 00:00:00
23027,100009,719593,0002231404,576.8000000000001,2022-10-17 00:00:00,2023-03-28 00:00:00
23027,100002,676155,K53821835,28.960000000000004,2022-03-07 00:00:00,2023-03-15 00:00:00
23027,100010,736921,0002235436,7.2,2023-01-11 00:00:00,2023-03-24 00:00:00
23027,100011,737873,0002246451,240.0,2023-01-17 00:00:00,2023-03-27 00:00:00
23027,100012,746149,3009264,1180.8,2023-02-27 00:00:00,2023-03-30 00:00:00
23028,100001,737133,AM1798471,72.04,2023-01-12 00:00:00,2023-03-22 00:00:00
23028,100002,676155,K53821835,72.712,2022-03-07 00:00:00,2023-03-15 00:00:00
23028,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-03-24 00:00:00
23028,100004,655977,2414144,188.4,2021-11-25 00:00:00,2023-03-30 00:00:00
23028,100004,655974,2414142,131.6,2021-11-25 00:00:00,2023-03-23 00:00:00
23028,100005,723171,M3889,96.184,2022-11-04 00:00:00,2023-03-03 00:00:00
23028,100006,676218,C4837,177.69600000000003,2022-03-07 00:00:00,2023-01-17 00:00:00
23028,100007,742567,2202239,8352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23028,100008,710843,A1673579,144.096,2022-09-05 00:00:00,2023-03-27 00:00:00
23028,100001,737133,AM1798471,57.68,2023-01-12 00:00:00,2023-03-22 00:00:00
23028,100009,719593,0002231404,7680.0,2022-10-17 00:00:00,2023-03-28 00:00:00
23028,100002,676155,K53821835,386.848,2022-03-07 00:00:00,2023-03-15 00:00:00
23028,100010,736921,0002235436,96.04,2023-01-11 00:00:00,2023-03-24 00:00:00
23028,100011,737873,0002246451,3200.0,2023-01-17 00:00:00,2023-03-27 00:00:00
23028,100012,746149,3009264,7872.0,2023-02-27 00:00:00,2023-03-30 00:00:00
23028,100004,655974,2414142,44.8,2021-11-25 00:00:00,2023-03-23 00:00:00
23028,100004,655969,2414151,3.2,2021-11-25 00:00:00,2023-03-17 00:00:00
23028,100005,723171,M3889,7.2,2022-11-04 00:00:00,2023-03-03 00:00:00
23028,100006,676218,C4837,13.44,2022-03-07 00:00:00,2023-01-17 00:00:00
23028,100007,742567,2202239,1253.04,2023-02-09 00:00:00,2023-03-23 00:00:00
23028,100008,710843,A1673579,10.8,2022-09-05 00:00:00,2023-03-27 00:00:00
23028,100001,737133,AM1798471,4.32,2023-01-12 00:00:00,2023-03-22 00:00:00
23028,100009,719593,0002231404,576.8000000000001,2022-10-17 00:00:00,2023-03-28 00:00:00
23028,100002,676155,K53821835,28.960000000000004,2022-03-07 00:00:00,2023-03-15 00:00:00
23028,100010,736921,0002235436,7.2,2023-01-11 00:00:00,2023-03-24 00:00:00
23028,100011,737873,0002246451,240.0,2023-01-17 00:00:00,2023-03-27 00:00:00
23028,100012,746149,3009264,1180.8,2023-02-27 00:00:00,2023-03-30 00:00:00
23029,100001,737133,AM1798471,76.80000000000001,2023-01-12 00:00:00,2023-03-22 00:00:00
23029,100002,676155,K53821835,76.80000000000001,2022-03-07 00:00:00,2023-04-06 00:00:00
23029,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-04-05 00:00:00
23029,100004,655977,2414144,316.8,2021-11-25 00:00:00,2023-03-30 00:00:00
23029,100005,723171,M3889,96.0,2022-11-04 00:00:00,2023-03-03 00:00:00
23029,100006,676218,C4837,177.74400000000003,2022-03-07 00:00:00,2023-01-17 00:00:00
23029,100007,736215,2202239,8000.0,2023-01-09 00:00:00,2023-04-03 00:00:00
23029,100007,742567,2202239,352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23029,100008,710843,A1673579,144.36,2022-09-05 00:00:00,2023-03-27 00:00:00
23029,100001,737133,AM1798471,57.696000000000005,2023-01-12 00:00:00,2023-03-22 00:00:00
23029,100009,719593,0002231404,7688.0,2022-10-17 00:00:00,2023-04-12 00:00:00
23029,100002,676155,K53821835,385.6,2022-03-07 00:00:00,2023-04-06 00:00:00
23029,100010,736921,0002235436,96.0,2023-01-11 00:00:00,2023-03-24 00:00:00
23029,100011,737873,0002246451,3200.0,2023-01-17 00:00:00,2023-04-13 00:00:00
23029,100012,746149,3009264,7872.0,2023-02-27 00:00:00,2023-04-12 00:00:00
23029,100004,655977,2414144,80.0,2021-11-25 00:00:00,2023-03-30 00:00:00
23029,100005,723171,M3889,11.936,2022-11-04 00:00:00,2023-03-03 00:00:00
23029,100006,676218,C4837,22.536,2022-03-07 00:00:00,2023-01-17 00:00:00
23029,100007,742567,2202239,2088.0400000000004,2023-02-09 00:00:00,2023-03-23 00:00:00
23029,100008,710843,A1673579,18.024,2022-09-05 00:00:00,2023-03-27 00:00:00
23029,100001,737133,AM1798471,7.208,2023-01-12 00:00:00,2023-03-22 00:00:00
23029,100009,719593,0002231404,960.296,2022-10-17 00:00:00,2023-04-12 00:00:00
23029,100002,676155,K53821835,48.080000000000005,2022-03-07 00:00:00,2023-04-06 00:00:00
23029,100010,736921,0002235436,12.048000000000002,2023-01-11 00:00:00,2023-03-24 00:00:00
23029,100011,737873,0002246451,400.7360000000001,2023-01-17 00:00:00,2023-04-13 00:00:00
23029,100012,746149,3009264,1968.0,2023-02-27 00:00:00,2023-04-12 00:00:00
23030,100001,737133,AM1798471,72.0,2023-01-12 00:00:00,2023-03-22 00:00:00
23030,100002,676155,K53821835,72.0,2022-03-07 00:00:00,2023-04-06 00:00:00
23030,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-04-05 00:00:00
23030,100004,655977,2414144,318.40000000000003,2021-11-25 00:00:00,2023-03-30 00:00:00
23030,100005,723171,M3889,96.0,2022-11-04 00:00:00,2023-03-03 00:00:00
23030,100006,676218,C4837,177.60000000000002,2022-03-07 00:00:00,2023-01-17 00:00:00
23030,100007,736215,2202239,8000.0,2023-01-09 00:00:00,2023-04-03 00:00:00
23030,100007,742567,2202239,352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23030,100008,710843,A1673579,144.0,2022-09-05 00:00:00,2023-03-27 00:00:00
23030,100001,737133,AM1798471,57.608,2023-01-12 00:00:00,2023-03-22 00:00:00
23030,100009,719593,0002231404,7680.0,2022-10-17 00:00:00,2023-04-12 00:00:00
23030,100002,676155,K53821835,384.0,2022-03-07 00:00:00,2023-04-06 00:00:00
23030,100010,736921,0002235436,96.0,2023-01-11 00:00:00,2023-03-24 00:00:00
23030,100011,737873,0002246451,3200.0,2023-01-17 00:00:00,2023-04-13 00:00:00
23030,100012,746149,3009264,7872.0,2023-02-27 00:00:00,2023-04-12 00:00:00
23030,100004,655977,2414144,80.0,2021-11-25 00:00:00,2023-03-30 00:00:00
23030,100005,723171,M3889,11.936,2022-11-04 00:00:00,2023-03-03 00:00:00
23030,100006,676218,C4837,22.536,2022-03-07 00:00:00,2023-01-17 00:00:00
23030,100007,742567,2202239,2088.0400000000004,2023-02-09 00:00:00,2023-03-23 00:00:00
23030,100008,710843,A1673579,18.024,2022-09-05 00:00:00,2023-03-27 00:00:00
23030,100001,737133,AM1798471,7.208,2023-01-12 00:00:00,2023-03-22 00:00:00
23030,100009,719593,0002231404,960.296,2022-10-17 00:00:00,2023-04-12 00:00:00
23030,100002,676155,K53821835,48.080000000000005,2022-03-07 00:00:00,2023-04-06 00:00:00
23030,100010,736921,0002235436,12.048000000000002,2023-01-11 00:00:00,2023-03-24 00:00:00
23030,100011,737873,0002246451,400.7360000000001,2023-01-17 00:00:00,2023-04-13 00:00:00
23030,100012,746149,3009264,1968.0,2023-02-27 00:00:00,2023-04-12 00:00:00
23031,100001,737133,AM1798471,76.80000000000001,2023-01-12 00:00:00,2023-03-22 00:00:00
23031,100002,676155,K53821835,76.80000000000001,2022-03-07 00:00:00,2023-04-06 00:00:00
23031,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-04-05 00:00:00
23031,100004,655977,2414144,316.8,2021-11-25 00:00:00,2023-03-30 00:00:00
23031,100005,723171,M3889,96.0,2022-11-04 00:00:00,2023-03-03 00:00:00
23031,100006,676218,C4837,176.0,2022-03-07 00:00:00,2023-01-17 00:00:00
23031,100007,736215,2202239,8000.0,2023-01-09 00:00:00,2023-04-03 00:00:00
23031,100007,742567,2202239,352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23031,100008,710843,A1673579,143.216,2022-09-05 00:00:00,2023-03-27 00:00:00
23031,100001,737133,AM1798471,57.608,2023-01-12 00:00:00,2023-03-22 00:00:00
23031,100009,719593,0002231404,7680.0,2022-10-17 00:00:00,2023-04-12 00:00:00
23031,100002,676155,K53821835,384.072,2022-03-07 00:00:00,2023-04-06 00:00:00
23031,100010,736921,0002235436,96.072,2023-01-11 00:00:00,2023-03-24 00:00:00
23031,100011,737873,0002246451,3200.0,2023-01-17 00:00:00,2023-04-17 00:00:00
23031,100012,746149,3009264,7872.0,2023-02-27 00:00:00,2023-04-12 00:00:00
23032,100001,737133,AM1798471,72.0,2023-01-12 00:00:00,2023-03-22 00:00:00
23032,100002,676155,K53821835,72.0,2022-03-07 00:00:00,2023-04-06 00:00:00
23032,100003,644272,0005070897,4800.0,2021-10-04 00:00:00,2023-04-05 00:00:00
23032,100004,655977,2414144,178.0,2021-11-25 00:00:00,2023-03-30 00:00:00
23032,100004,655980,2414141,138.8,2021-11-25 00:00:00,2023-04-06 00:00:00
23032,100005,723171,M3889,96.072,2022-11-04 00:00:00,2023-03-03 00:00:00
23032,100006,676218,C4837,177.6088,2022-03-07 00:00:00,2023-01-17 00:00:00
23032,100007,736215,2202239,8000.0,2023-01-09 00:00:00,2023-04-03 00:00:00
23032,100007,742567,2202239,352.0,2023-02-09 00:00:00,2023-03-23 00:00:00
23032,100008,710843,A1673579,144.0,2022-09-05 00:00:00,2023-03-27 00:00:00
