LOTE,FECHA,TURBIDEZ,VIABILIDAD
23059,2023-06-26 20:00:00,20.2,19920000
23059,2023-06-27 07:15:00,35.6,67466666
23059,2023-06-27 11:30:00,43.0,85333333
23059,2023-06-27 15:30:00,55.1,101333333
23059,2023-06-27 19:30:00,62.6,119733333
23059,2023-06-28 06:15:00,73.0,184800000
23059,2023-06-28 07:15:00,74.4,218666666
23059,2023-06-28 09:30:00,72.9,188533333
23056,2023-07-02 08:00:00,16.0,2912000
23056,2023-07-03 07:00:00,27.0,112266666
23057,2023-07-02 08:00:00,16.0,2912000
23057,2023-07-03 07:00:00,27.0,112266666
23060,2023-07-03 08:00:00,16.1,4440000
23060,2023-07-03 12:00:00,16.2,7888000
23060,2023-07-03 16:00:00,17.2,10640000
23060,2023-07-03 20:00:00,18.2,19600000
23060,2023-07-04 06:35:00,27.6,103466666
23061,2023-07-03 08:00:00,16.1,4440000
23061,2023-07-03 12:00:00,16.2,7888000
23061,2023-07-03 16:00:00,17.2,10640000
23061,2023-07-03 20:00:00,18.2,19600000
23061,2023-07-04 06:35:00,27.6,103466666
P23273,2023-07-03 09:00:00,18.7,7312000
P23273,2023-07-03 13:00:00,19.2,10026666
P23273,2023-07-03 17:00:00,20.8,14293333
P23273,2023-07-03 21:00:00,22.5,25173333
P23273,2023-07-04 08:00:00,38.0,48480000
P23273,2023-07-04 12:00:00,47.9,104000000
P23273,2023-07-04 16:00:00,57.4,98933333
P23273,2023-07-04 20:00:00,67.6,92266666
P23273,2023-07-05 06:00:00,78.0,154933333
P23273,2023-07-05 08:00:00,81.6,205600000
P23273,2023-07-05 10:00:00,89.6,91200000
23062,2023-07-09 07:30:00,16.2,5728000
23062,2023-07-10 06:30:00,22.8,101600000
23063,2023-07-09 07:30:00,16.2,5728000
23063,2023-07-10 06:30:00,22.8,101600000
23064,2023-07-10 08:00:00,15.9,4472000
23064,2023-07-10 12:00:00,16.2,9146666
23064,2023-07-10 16:00:00,17.5,12373333
23064,2023-07-10 20:00:00,17.4,28506666
23064,2023-07-11 06:00:00,23.0,96800000
23064,2023-07-11 07:00:00,24.9,112266666
23065,2023-07-10 08:00:00,15.9,4472000
23065,2023-07-10 12:00:00,16.2,9146666
23065,2023-07-10 16:00:00,17.5,12373333
23065,2023-07-10 20:00:00,17.4,28506666
23065,2023-07-11 06:00:00,23.0,96800000
23065,2023-07-11 07:00:00,24.9,112266666
23067,2023-07-16 08:00:00,16.1,6448000
23067,2023-07-17 06:30:00,25.5,130666666
23068,2023-07-17 08:00:00,14.2,4832000
23068,2023-07-17 12:00:00,15.7,8626666
23068,2023-07-17 16:00:00,16.0,12933333
23068,2023-07-17 20:00:00,16.5,18933333
23068,2023-07-18 06:15:00,21.9,131200000
23069,2023-07-17 08:00:00,14.2,4832000
23069,2023-07-17 12:00:00,15.7,8626666
23069,2023-07-17 16:00:00,16.0,12933333
23069,2023-07-17 20:00:00,16.5,18933333
23069,2023-07-18 06:15:00,21.9,131200000
23066,2023-07-23 08:42:00,14.2,4050666
23066,2023-07-24 07:45:00,26.3,86160000
23070,2023-07-23 08:42:00,14.2,4050666
23070,2023-07-24 07:45:00,26.3,86160000
23071,2023-07-24 07:45:00,12.7,3661333
23071,2023-07-24 11:00:00,13.3,6592000
23071,2023-07-24 15:00:00,14.0,10053333
23071,2023-07-24 19:00:00,15.0,25600000
23071,2023-07-25 06:15:00,25.5,76880000
23072,2023-07-24 07:45:00,12.7,3661333
23072,2023-07-24 11:00:00,13.3,6592000
23072,2023-07-24 15:00:00,14.0,10053333
23072,2023-07-24 19:00:00,15.0,25600000
23072,2023-07-25 06:15:00,25.5,76880000
23073,2023-07-30 06:30:00,15.4,3741333
23073,2023-07-31 06:30:00,26.0,85866666
23073,2023-07-31 07:40:00,28.0,105333333
23073,2023-07-31 09:00:00,29.8,111200000
23075,2023-07-30 06:30:00,15.4,3741333
23075,2023-07-31 06:30:00,26.0,85866666
23075,2023-07-31 07:40:00,28.0,105333333
23075,2023-07-31 09:00:00,29.8,111200000
23074,2023-07-31 07:45:00,17.8,3240000
23074,2023-07-31 12:00:00,17.9,7229333
23074,2023-07-31 16:00:00,18.6,8426666
23074,2023-07-31 20:00:00,20.1,18960000
23074,2023-08-01 06:15:00,28.8,58773333
23074,2023-08-01 07:15:00,29.2,82800000
23076,2023-07-31 07:45:00,14.2,3565333
23076,2023-07-31 12:00:00,14.5,7322666
23076,2023-07-31 16:00:00,15.4,8749333
23076,2023-07-31 20:00:00,16.6,12880000
23076,2023-08-01 06:15:00,25.4,92000000
23077,2023-09-03 08:00:00,18.2,5544000
23077,2023-09-04 07:00:00,26.6,83173333
23077,2023-09-04 08:50:00,29.9,125333333
23077,2023-09-04 10:30:00,33.0,137600000
23077,2023-09-04 11:40:00,34.8,102666666
23078,2023-09-03 08:00:00,18.2,5544000
23078,2023-09-04 07:00:00,26.6,83173333
23079,2023-09-04 07:45:00,14.6,2976000
23079,2023-09-04 12:00:00,14.8,8016000
23079,2023-09-04 16:00:00,15.8,10960000
23079,2023-09-04 20:00:00,16.6,20906666
23079,2023-09-05 07:00:00,27.1,71600000
23079,2023-09-05 07:45:00,28.2,92800000
23080,2023-09-04 07:45:00,14.6,2976000
23080,2023-09-04 12:00:00,14.8,8016000
23080,2023-09-04 16:00:00,15.8,10960000
23080,2023-09-04 20:00:00,16.6,20906666
23080,2023-09-05 07:00:00,27.1,71600000
23080,2023-09-05 07:45:00,28.2,92800000
23081,2023-09-12 08:00:00,14.6,3682666
23081,2023-09-12 12:00:00,15.2,6973333
23081,2023-09-12 16:00:00,15.8,10213333
23081,2023-09-12 20:00:00,16.6,17546666
23081,2023-09-13 07:00:00,24.5,79866666
23082,2023-09-12 08:00:00,14.6,3682666
23082,2023-09-12 12:00:00,15.2,6973333
23082,2023-09-12 16:00:00,15.8,10213333
23082,2023-09-12 20:00:00,16.6,17546666
23082,2023-09-13 07:00:00,24.5,79866666
23083,2023-09-11 08:15:00,14.7,24106666
23083,2023-09-12 07:15:00,28.4,90986666
23084,2023-09-11 08:15:00,14.7,24106666
23084,2023-09-12 07:15:00,28.4,90986666
23085,2023-09-25 09:00:00,15.4,3520000
23085,2023-09-25 07:45:00,29.4,100000000
23086,2023-09-25 09:00:00,15.4,3520000
23086,2023-09-25 07:45:00,29.4,100000000
23087,2023-09-25 08:30:00,15.0,4456000
23087,2023-09-25 13:00:00,15.0,5458666
23087,2023-09-25 17:00:00,15.6,9520000
23087,2023-09-25 21:00:00,16.5,22773333
23087,2023-09-26 07:00:00,22.2,76560000
23087,2023-09-26 08:00:00,24.7,70880000
23087,2023-09-26 08:30:00,26.5,76320000
23087,2023-09-26 09:10:00,27.4,82480000
23088,2023-09-25 08:30:00,15.0,4456000
23088,2023-09-25 13:00:00,15.0,5458666
23088,2023-09-25 17:00:00,15.6,9520000
23088,2023-09-25 21:00:00,16.5,22773333
23088,2023-09-26 07:00:00,22.2,76560000
23088,2023-09-26 08:00:00,24.7,70880000
23088,2023-09-26 08:30:00,26.5,76320000
23088,2023-09-26 09:10:00,27.4,82480000
23089,2023-10-01 08:30:00,16.8,3557333
23089,2023-10-02 07:15:00,25.7,63920000
23089,2023-10-02 08:15:00,26.6,86693333
23090,2023-10-01 08:30:00,16.8,3557333
23090,2023-10-02 07:15:00,25.7,63920000
23090,2023-10-02 08:15:00,26.6,86693333
23091,2023-10-02 07:45:00,15.4,4736000
23091,2023-10-02 12:45:00,16.2,6837333
23091,2023-10-02 16:45:00,17.4,6749333
23091,2023-10-02 20:45:00,17.9,19040000
23091,2023-10-03 06:45:00,24.3,63013333
23091,2023-10-03 08:00:00,25.6,95733333
23092,2023-10-02 07:45:00,15.4,4736000
23092,2023-10-02 12:45:00,16.2,6837333
23092,2023-10-02 16:45:00,17.4,6749333
23092,2023-10-02 20:45:00,17.9,19040000
23092,2023-10-03 06:45:00,24.3,63013333
23092,2023-10-03 08:00:00,25.6,95733333
23094,2023-10-09 07:00:00,21.5,46906666
23094,2023-10-09 08:00:00,21.8,53200000
23094,2023-10-09 10:00:00,21.9,55493333
23094,2023-10-09 12:00:00,22.7,90933333
23094,2023-10-09 12:25:00,23.4,88000000
23095,2023-10-09 07:00:00,21.5,46906666
23095,2023-10-09 08:00:00,21.8,53200000
23095,2023-10-09 10:00:00,21.9,55493333
23095,2023-10-09 12:00:00,22.7,90933333
23095,2023-10-09 12:25:00,23.4,88000000
23096,2023-10-16 08:00:00,16.6,5133333
23096,2023-10-16 12:00:00,16.7,6165333
23096,2023-10-16 16:00:00,17.2,8008000
23096,2023-10-16 20:00:00,17.5,14320000
23096,2023-10-17 07:00:00,26.6,47013333
23096,2023-10-17 08:30:00,28.5,91200000
23097,2023-10-16 08:00:00,17.3,5597333
23097,2023-10-16 12:00:00,17.7,6464000
23097,2023-10-16 16:00:00,18.6,8850666
23097,2023-10-16 20:00:00,18.6,14213333
23097,2023-10-17 07:00:00,25.8,43280000
23097,2023-10-17 08:30:00,30.8,89600000
23098,2023-10-16 08:00:00,16.6,5133333
23098,2023-10-16 12:00:00,16.7,6165333
23098,2023-10-16 16:00:00,17.2,8008000
23098,2023-10-16 20:00:00,17.5,14320000
23098,2023-10-17 07:00:00,26.6,47013333
23098,2023-10-17 08:30:00,28.5,91200000
23099,2023-10-22 08:30:00,16.8,2632000
23099,2023-10-23 07:30:00,28.9,56426666
23099,2023-10-23 08:40:00,28.6,70026666
23099,2023-10-23 09:40:00,30.0,81653333
23100,2023-10-22 08:30:00,16.8,2632000
23100,2023-10-23 07:30:00,28.9,56426666
23100,2023-10-23 08:40:00,28.6,70026666
23100,2023-10-23 09:40:00,30.0,81653333
23101,2023-10-23 07:30:00,15.0,3485333
23101,2023-10-23 12:00:00,15.0,5610666
23101,2023-10-23 16:00:00,15.3,7120000
23101,2023-10-23 20:00:00,15.8,11653333
23101,2023-10-24 06:30:00,23.3,82426666
23102,2023-10-23 07:30:00,15.0,3485333
23102,2023-10-23 12:00:00,15.0,5610666
23102,2023-10-23 16:00:00,15.3,7120000
23102,2023-10-23 20:00:00,15.8,11653333
23102,2023-10-24 06:30:00,23.3,82426666
23103,2023-10-30 09:45:00,15.1,5554666
23103,2023-10-30 13:45:00,15.4,8426666
23103,2023-10-30 17:45:00,15.7,11013333
23103,2023-10-31 08:20:00,22.2,66640000
23103,2023-10-31 09:20:00,23.1,72346666
23103,2023-10-31 10:15:00,23.5,83120000
23104,2023-10-30 10:00:00,16.2,5666666
23104,2023-10-30 14:00:00,16.6,9040000
23104,2023-10-30 18:00:00,17.8,12906666
23104,2023-10-31 08:20:00,27.8,90133333
23105,2023-10-30 09:45:00,15.1,5554666
23105,2023-10-30 13:45:00,15.4,8426666
23105,2023-10-30 17:45:00,15.7,11013333
23105,2023-10-31 08:20:00,22.2,66640000
23105,2023-10-31 09:20:00,23.1,72346666
23105,2023-10-31 10:15:00,23.5,83120000
23108,2023-11-05 09:30:00,16.6,2250666
23108,2023-11-06 08:30:00,28.9,98933333
23109,2023-11-05 09:30:00,16.6,2250666
23109,2023-11-06 08:30:00,28.9,98933333
23110,2023-11-06 12:40:00,16.2,6530666
23110,2023-11-06 16:40:00,16.5,8853333
23110,2023-11-06 20:40:00,16.6,12453333
23110,2023-11-07 07:00:00,21.0,50533333
23110,2023-11-07 11:00:00,25.8,84266666
23111,2023-11-06 16:40:00,16.5,8853333
23111,2023-11-06 20:40:00,16.6,12453333
23111,2023-11-07 07:00:00,21.0,50533333
23111,2023-11-07 11:00:00,25.8,84266666
23112,2023-11-12 09:35:00,16.5,2957333
23112,2023-11-13 08:30:00,27.6,97866666
23113,2023-11-12 09:35:00,16.5,2957333
23113,2023-11-13 08:30:00,27.6,97866666
23114,2023-11-13 07:45:00,14.9,5802666
23114,2023-11-13 11:45:00,15.0,8320000
23114,2023-11-13 15:45:00,16.2,12266666
23114,2023-11-13 19:45:00,16.7,21893333
23114,2023-11-14 06:30:00,26.2,104266666
P23462,2023-11-13 07:45:00,13.0,5976000
P23462,2023-11-13 11:45:00,13.6,10000000
P23462,2023-11-13 15:45:00,14.8,15706666
P23462,2023-11-13 19:45:00,15.9,30133333
P23462,2023-11-14 06:40:00,25.5,142666666
23117,2023-11-13 07:45:00,14.9,5802666
23117,2023-11-13 11:45:00,15.0,8320000
23117,2023-11-13 15:45:00,16.2,12266666
23117,2023-11-13 19:45:00,16.7,21893333
23117,2023-11-14 06:30:00,26.2,104266666
23118,2023-11-19 07:00:00,16.9,2224000
23118,2023-11-20 06:50:00,26.6,104266666
23119,2023-11-19 07:00:00,16.9,2224000
23119,2023-11-20 06:50:00,26.6,104266666
23120,2023-11-20 08:00:00,16.2,5685333
23120,2023-11-20 12:00:00,16.3,9786666
23120,2023-11-20 16:00:00,17.0,20373333
23120,2023-11-20 20:00:00,18.2,20800000
23120,2023-11-21 07:00:00,26.8,105066666
23121,2023-11-20 08:00:00,11.2,6141333
23121,2023-11-20 12:00:00,11.8,15253333
23121,2023-11-20 16:00:00,12.9,12080000
23121,2023-11-20 20:00:00,14.0,34560000
23121,2023-11-21 07:00:00,24.4,143200000
23124,2023-11-26 07:40:00,15.9,2824208
23124,2023-11-27 06:40:00,25.5,88533333
23125,2023-11-26 07:40:00,15.9,2824208
23125,2023-11-27 06:40:00,25.5,88533333
23126,2023-11-27 07:30:00,14.0,8090666
23126,2023-11-27 11:30:00,14.1,15653333
23126,2023-11-27 15:30:00,15.2,20133333
23126,2023-11-27 19:30:00,16.4,36213333
23126,2023-11-28 06:30:00,28.5,134133333
23127,2023-11-27 07:30:00,14.0,8090666
23127,2023-11-27 11:30:00,14.1,15653333
23127,2023-11-27 15:30:00,15.2,20133333
23127,2023-11-27 19:30:00,16.4,36213333
23127,2023-11-28 06:30:00,28.5,134133333
23131,2023-12-03 07:00:00,15.4,2312000
23131,2023-12-04 06:45:00,22.3,144800000
23132,2023-12-03 07:00:00,15.6,2821333
23132,2023-12-04 06:45:00,25.0,101333333
23133,2023-12-03 07:00:00,15.6,2821333
23133,2023-12-04 06:45:00,25.0,101333333
23136,2023-12-17 07:45:00,15.7,2394666
23136,2023-12-18 07:00:00,26.6,122400000
23136,2023-12-18 13:00:00,32.6,166933333
23137,2023-12-17 07:45:00,15.7,2394666
23137,2023-12-18 07:00:00,26.6,122400000
23137,2023-12-18 13:00:00,32.6,166933333
23138,2023-12-18 07:40:00,12.9,4530666
23138,2023-12-18 11:40:00,12.7,7762666
23138,2023-12-18 15:40:00,13.2,9680000
23138,2023-12-18 19:40:00,13.7,10320000
23138,2023-12-19 07:00:00,18.1,25146666
23138,2023-12-19 08:00:00,18.5,34213333
23138,2023-12-19 09:30:00,19.4,41920000
23138,2023-12-19 11:00:00,20.2,42880000
23138,2023-12-19 12:40:00,21.8,56773333
23139,2023-12-18 07:40:00,12.9,4530666
23139,2023-12-18 11:40:00,12.7,7762666
23139,2023-12-18 15:40:00,13.2,9680000
23139,2023-12-18 19:40:00,13.7,10320000
23139,2023-12-19 07:00:00,18.1,25146666
23139,2023-12-19 08:00:00,18.5,34213333
23139,2023-12-19 09:30:00,19.4,41920000
23139,2023-12-19 11:00:00,20.2,42880000
23139,2023-12-19 12:40:00,21.8,56773333
23002,2024-01-16 09:00:00,13.7,2178666
23002,2024-01-16 13:00:00,14.1,4938666
23002,2024-01-16 17:00:00,14.3,7456000
23002,2024-01-16 20:30:00,14.3,10853333
23002,2024-01-17 07:00:00,17.8,60880000
23002,2024-01-17 09:00:00,19.4,89066666
24003,2024-01-16 09:00:00,13.7,2178666
24003,2024-01-16 13:00:00,14.1,4938666
24003,2024-01-16 17:00:00,14.3,7456000
24003,2024-01-16 20:30:00,14.3,10853333
24003,2024-01-17 07:00:00,17.8,60880000
24003,2024-01-17 09:00:00,19.4,89066666
24005,2024-01-19 08:00:00,15.3,6616000
24005,2024-01-19 12:00:00,15.8,12000000
24005,2024-01-19 15:30:00,15.8,14586666
24005,2024-01-19 19:00:00,17.0,24720000
24005,2024-01-20 07:15:00,30.5,78293333
24004,2024-01-15 07:35:00,14.5,3560000
24004,2024-01-15 11:35:00,14.8,6165333
24004,2024-01-15 15:35:00,15.2,9333333
24004,2024-01-15 19:35:00,16.4,13040000
24004,2024-01-16 06:40:00,21.6,54080000
24004,2024-01-16 09:10:00,22.8,68586666
24004,2024-01-16 11:00:00,24.5,79120000
24006,2024-01-15 11:35:00,14.8,6165333
24006,2024-01-15 15:35:00,15.2,9333333
24006,2024-01-15 19:35:00,16.4,13040000
24006,2024-01-16 06:40:00,21.6,54080000
24006,2024-01-16 09:10:00,22.8,68586666
24006,2024-01-16 11:00:00,24.5,79120000
24007,2024-01-19 08:00:00,14.4,3488000
24007,2024-01-19 12:00:00,14.7,10293333
24007,2024-01-19 15:30:00,15.0,13866666
24007,2024-01-19 19:00:00,15.8,21093333
24007,2024-01-20 07:15:00,32.9,79466666
24008,2024-01-19 08:00:00,14.4,3488000
24008,2024-01-19 12:00:00,14.7,10293333
24008,2024-01-19 15:30:00,15.0,13866666
24008,2024-01-19 19:00:00,15.8,21093333
24008,2024-01-20 07:15:00,32.9,79466666
24009,2024-02-22 07:45:00,14.4,6104000
24009,2024-01-22 10:48:00,14.6,11066666
24009,2024-01-22 15:45:00,15.2,15466666
24009,2024-01-22 19:45:00,16.2,26213333
24009,2024-01-23 06:20:00,23.7,91466666
24012,2024-02-22 07:45:00,14.4,6104000
24012,2024-01-22 10:48:00,14.6,11066666
24012,2024-01-22 15:45:00,15.2,15466666
24012,2024-01-22 19:45:00,16.2,26213333
24012,2024-01-23 06:20:00,23.7,91466666
24010,2024-01-26 07:30:00,15.5,3688000
24010,2024-01-26 11:30:00,15.8,8133333
24010,2024-01-26 15:30:00,16.5,11840000
24010,2024-01-26 19:15:00,17.2,23093333
24010,2024-01-27 06:20:00,30.6,95466666
24020,2024-01-26 07:30:00,15.5,3688000
