LOTE;FECHA;TURBIDEZ;VIABILIDAD;GLUCOSA_G/L
23040;30/05/2023 10:30;29,28;165600000,00;1,42
23040;30/05/2023 11:45;32,32;154666666,67;1,34
23041;30/05/2023 08:00;15,6;6850666,67;1,66
23041;30/05/2023 12:00;16,08;11546666,67;1,65
23041;30/05/2023 16:00;16,88;17040000,00;1,66
23041;30/05/2023 20:00;18,24;23920000,00;1,68
23041;31/05/2023 07:20;30,08;91466666,67;1,65
23041;31/05/2023 11:20;37,84;111200000,00;1,42
23041;31/05/2023 16:00;48,96;149866666,67;1,24
23041;31/05/2023 20:00;59,52;166933333,33;1,08
23041;01/06/2023 06:15;79,36;165333333,33;0,23
23041;01/06/2023 07:15;79,28;197333333,33;0,18
23041;01/06/2023 10:00;76,8;260266666,67;0
23042;31/05/2023 07:20;15,28;5864000,00;2,3
23042;31/05/2023 11:20;15,68;8480000,00;1,92
23042;31/05/2023 16:00;17,28;14986666,67;2,24
23042;31/05/2023 20:00;18,72;22186666,67;2,28
23042;01/06/2023 06:15;28,88;65680000,00;1,88
23042;01/06/2023 11:30;36,48;106666666,67;1,82
23042;01/06/2023 16:00;46,72;134133333,33;1,54
23042;01/06/2023 20:00;57,28;132000000,00;1,42
23042;02/06/2023 06:30;67,12;214400000,00;0,75
23042;02/06/2023 07:50;65,12;222666666,67;0,7
23042;02/06/2023 09:00;64,32;215200000,00;0,69
23042;02/06/2023 11:00;68,96;209866666,67;0,51
23044;06/06/2023 13:00;14,88;2778666,67;2,11
23044;06/06/2023 13:00;15,36;5197333,33;1,94
23044;06/06/2023 17:00;15,44;5656000,00;1,96
23044;06/06/2023 21:00;16,08;9493333,33;1,89
23044;07/06/2023 06:15;18,56;24240000,00;1,98
23044;07/06/2023 10:45;20,64;32506666,67;2,1
23044;07/06/2023 15:00;24,48;47866666,67;1,74
23044;07/06/2023 20:15;31,2;90133333,33;1,72
23044;08/06/2023 06:30;42,4;134133333,33;1,42
23044;08/06/2023 08:30;45,36;147466666,67;1,54
23044;08/06/2023 11:00;50,4;150933333,33;1,34
23044;08/06/2023 13:00;53,44;163200000,00;1,36
23044;08/06/2023 13:40;53,84;156000000,00;1,34
23044;08/06/2023 15:40;56,48;129866666,67;1,15
23043;12/06/2023 08:00;16,24;4328000,00;2,34
23043;12/06/2023 12:00;16,4;6781333,33;2,33
23043;12/06/2023 16:30;17,92;11253333,33;2,11
23043;12/06/2023 20:30;19,84;17253333,33;2,02
23043;13/06/2023 07:30;30,48;51146666,67;2,14
23043;13/06/2023 12:00;37,36;68293333,33;1,97
23043;13/06/2023 16:00;44,32;78533333,33;1,58
23043;13/06/2023 20:00;50,72;67146666,67;1,39
23043;14/06/2023 06:30;57,2;176533333,33;0,46
23043;14/06/2023 07:30;62,8;168533333,33;1,04
23043;14/06/2023 08:30;64;177600000,00;0,94
23043;14/06/2023 09:30;64,8;184533333,33;0,91
23043;14/06/2023 10:30;64,96;188000000,00;0,88
23045;12/06/2023 08:00;16,72;4754666,67;2,14
23045;12/06/2023 12:00;18;7506666,67;2,28
23045;12/06/2023 16:30;18,08;11520000,00;2,02
23045;12/06/2023 20:30;20,64;20293333,33;2,2
23045;13/06/2023 07:30;35,2;68293333,33;2,02
23045;13/06/2023 12:00;46,32;95733333,33;1,58
23045;13/06/2023 16:00;54,16;114400000,00;1,68
23045;13/06/2023 20:00;62,24;143733333,33;1,47
23045;14/06/2023 06:30;69,44;186400000,00;0,7
23045;14/06/2023 07:30;70,16;174400000,00;0,6
23045;14/06/2023 08:30;72,8;174400000,00;0,55
23046;13/06/2023 08:00;14,08;4386666,67;2,18
23046;13/06/2023 12:00;14,16;6821333,33;2,16
23046;13/06/2023 16:00;15,2;10666666,67;2,06
23046;13/06/2023 20:00;17,04;19600000,00;1,85
23046;14/06/2023 06:30;28,8;69226666,67;1,9
23046;14/06/2023 11:40;39,12;108533333,33;1,95
23046;15/06/2023 06:00;71,6;188000000,00;0,62
23046;15/06/2023 07:15;70,72;189600000,00;0,62
23046;15/06/2023 08:15;69,12;203466666,67;0,58
23046;15/06/2023 09:15;69,68;164800000,00;0,48
23047;13/06/2023 08:00;18,72;4312000,00;1,54
23047;13/06/2023 12:00;19,04;6242666,67;1,91
23047;13/06/2023 16:00;19,6;10773333,33;1,94
23047;13/06/2023 20:00;22,56;20533333,33;2,18
23047;14/06/2023 06:30;31,36;61760000,00;2,03
23047;14/06/2023 11:40;40,88;93600000,00;1,96
23047;14/06/2023 15:40;50,96;107733333,33;1,78
23047;14/06/2023 19:40;59,28;142933333,33;1,52
23047;15/06/2023 06:00;70,56;172533333,33;0,84
23047;15/06/2023 07:15;71,84;168533333,33;0,82
23047;15/06/2023 08:15;72,08;162133333,33;0,74
P23243;14/06/2023 10:40;15,92;19386666,67;2,18
P23243;14/06/2023 15:00;16,32;20560000,00;1,93
P23243;14/06/2023 19:00;17,76;21653333,33;1,97
P23243;15/06/2023 06:15;29,2;63973333,33;2,09
P23243;15/06/2023 11:00;37,6;97600000,00;2,1
P23243;15/06/2023 15:00;47,6;117066666,67;1,82
P23243;15/06/2023 19:00;55,12;139200000,00;1,46
P23243;16/06/2023 07:00;67,52;203200000,00;0,68
P23243;16/06/2023 08:00;69,2;202400000,00;0,61
P23243;16/06/2023 09:00;70,32;200266666,67;0,54
23048;20/06/2023 08:30;16;5746666,67;1,82
23048;20/06/2023 12:30;16,4;8293333,33;2,32
23048;20/06/2023 16:30;17,44;12986666,67;2,02
23048;20/06/2023 20:30;19,2;19146666,67;2,07
23048;21/06/2023 07:00;32,4;61440000,00;1,69
23048;21/06/2023 12:15;41,6;89866666,67;1,66
23048;21/06/2023 16:15;51,28;112000000,00;1,42
23048;21/06/2023 20:15;57,6;113333333,33;1,37
23048;22/06/2023 06:20;63,2;170133333,33;0,75
23048;22/06/2023 07:20;63,6;184800000,00;0,44
23048;22/06/2023 08:20;67,04;165866666,67;0,58
23049;20/06/2023 08:30;14,96;6400000,00;1,62
23049;20/06/2023 12:30;15,28;8746666,67;1,96
23049;20/06/2023 16:30;16,4;13253333,33;1,98
23049;20/06/2023 20:30;18,56;21760000,00;2,14
23049;21/06/2023 07:00;30,56;53893333,33;1,64
23049;21/06/2023 12:15;40,88;110133333,33;1,69
23049;21/06/2023 16:15;51,28;112000000,00;1,42
23049;21/06/2023 20:15;58,4;132800000,00;1,42
23049;22/06/2023 06:20;68,64;160800000,00;0,64
23049;22/06/2023 07:20;67,12;170400000,00;0,59
23049;22/06/2023 08:20;68,8;163466666,67;0,57
23050;21/06/2023 08:45;16,16;3741333,33;1,87
23050;21/06/2023 12:30;16,72;6128000,00;1,88
23050;21/06/2023 16:30;17,44;10426666,67;2,14
23050;21/06/2023 20:30;18,8;23066666,67;2,27
23050;22/06/2023 07:00;29,12;51840000,00;1,92
23050;22/06/2023 11:00;36,8;53493333,33;1,82
23050;22/06/2023 15:00;50,4;83226666,67;1,71
23050;22/06/2023 19:00;57,76;94400000,00;1,48
23050;23/06/2023 06:15;73,6;174400000,00;0,8
23050;23/06/2023 07:30;75,28;129600000,00;0,62
23050;23/06/2023 10:00;74,56;190666666,67;0,58
23051;21/06/2023 08:45;14,8;3554666,67;2,14
23051;21/06/2023 12:30;15,12;6970666,67;2,23
23051;21/06/2023 16:30;16,48;11946666,67;2,19
23051;21/06/2023 20:30;18,08;19226666,67;2,09
23051;22/06/2023 07:00;28,4;64560000,00;1,93
23051;22/06/2023 11:00;35,84;73786666,67;1,81
23051;22/06/2023 15:00;46,8;100400000,00;NA
23051;22/06/2023 19:00;50,56;112800000,00;1,58
23051;23/06/2023 06:15;51,76;194666666,67;1,3
23051;23/06/2023 07:30;52,24;184533333,33;1,16
23051;23/06/2023 08:30;50,56;214933333,33;1,06
23051;23/06/2023 10:00;50;216800000,00;1,18
23051;23/06/2023 10:40;49,76;211466666,67;1,22
23051;23/06/2023 12:20;53,28;265866666,67;0,98
23052;26/06/2023 08:00;16,48;2912000,00;1,99
23052;26/06/2023 12:00;16,8;7514666,67;2,01
23052;26/06/2023 16:00;17,84;11973333,33;2,02
23052;26/06/2023 20:00;20,24;19920000,00;1,78
23052;27/06/2023 07:15;35,6;67466666,67;1,82
23052;27/06/2023 11:30;42,96;85333333,33;1,82
23052;27/06/2023 15:30;55,12;101333333,33;1,53
23052;27/06/2023 19:30;62,56;119733333,33;1,46
23052;28/06/2023 06:15;73,04;184800000,00;0,71
23052;28/06/2023 07:15;74,4;218666666,67;0,69
23052;28/06/2023 09:30;72,88;188533333,33;0,67
23053;26/06/2023 08:00;16,64;4544000,00;2,1
23053;26/06/2023 12:00;17,04;7666666,67;2,09
23053;26/06/2023 16:00;17,92;10026666,67;2,16
23053;26/06/2023 20:00;20,08;20186666,67;2,17
23053;27/06/2023 07:15;32,48;60373333,33;1,07
23053;27/06/2023 11:30;39,52;81146666,67;2
23053;27/06/2023 15:30;48,4;97866666,67;1,54
23053;27/06/2023 19:30;56,8;106666666,67;1,54
23053;28/06/2023 06:15;67,28;160266666,67;0,87
23053;28/06/2023 07:15;70,72;195466666,67;0,63
23053;28/06/2023 09:30;72,64;167733333,33;0,61
23054;27/06/2023 08:15;17,04;3992000,00;1,81
23054;27/06/2023 11:30;17,2;6058666,67;1,81
23054;27/06/2023 15:30;18,08;8989333,33;1,8
23054;27/06/2023 19:30;20,88;149066666,67;1,99
23054;28/06/2023 07:00;31,36;45733333,33;1,98
23054;28/06/2023 11:30;40,72;70373333,33;1,6
23054;28/06/2023 15:30;50,56;113066666,67;1,62
23054;28/06/2023 19:30;57,92;123733333,33;1,54
23054;29/06/2023 06:30;66,88;166400000,00;0,81
23054;29/06/2023 07:35;65,92;165600000,00;0,7
23054;29/06/2023 08:15;65,28;192800000,00;0,72
23055;27/06/2023 08:15;17,12;3952000,00;1,92
23055;27/06/2023 11:30;17,04;5642666,67;0,92
23055;27/06/2023 15:30;18,16;9280000,00;1,84
23055;27/06/2023 19:30;20,08;9253333,33;1,96
23055;28/06/2023 07:00;29,44;41493333,33;2,06
23055;28/06/2023 11:30;38;51413333,33;1,78
23055;28/06/2023 15:30;48,56;71013333,33;1,74
23055;28/06/2023 19:30;59,68;133333333,33;1,54
23055;29/06/2023 06:30;76,4;163466666,67;0,81
23055;29/06/2023 07:35;79,52;141600000,00;0,69
23055;29/06/2023 08:15;81,6;169066666,67;0,77
23059;28/06/2023 13:00;21,84;5194666,67;1,98
23059;28/06/2023 17:00;22;15253333,33;2,07
23059;28/06/2023 21:00;23,52;8093333,33;1,98
23059;29/06/2023 07:20;30,88;28906666,67;2,13
23059;29/06/2023 11:20;39,28;40400000,00;1,77
23059;29/06/2023 15:20;48,16;81493333,33;1,59
23059;29/06/2023 19:20;58,48;117066666,67;1,54
23059;30/06/2023 07:00;76,32;190933333,33;0,54
23056;03/07/2023 09:00;18,72;7312000,00;2,06
23056;03/07/2023 13:00;19,2;10026666,67;1,99
23056;03/07/2023 17:00;20,8;14293333,33;2,18
23056;03/07/2023 21:00;22,48;25173333,33;2,07
23056;04/07/2023 08:00;38;48480000,00;1,94
23056;04/07/2023 12:00;47,92;104000000,00;1,72
23056;04/07/2023 16:00;57,36;98933333,33;1,53
23056;04/07/2023 20:00;67,6;92266666,67;1,18
23056;05/07/2023 06:00;78;154933333,33;0,6
23056;05/07/2023 08:00;81,6;205600000,00;0,47
23056;05/07/2023 10:00;89,6;91200000,00;0,38
23057;03/07/2023 09:00;18,64;7589333,33;2,06
23057;03/07/2023 13:00;18,16;10506666,67;1,95
23057;03/07/2023 17:00;20,4;16426666,67;2,18
23057;03/07/2023 21:00;21,92;20106666,67;2,14
23057;04/07/2023 08:00;33,44;53013333,33;2,05
23057;04/07/2023 12:00;42,08;100800000,00;1,72
23057;04/07/2023 16:00;49,76;82373333,33;1,56
23057;04/07/2023 20:00;60,96;100533333,33;1,42
23057;05/07/2023 06:00;71,68;148266666,67;0,87
23057;05/07/2023 08:00;73,6;173066666,67;0,74
23057;05/07/2023 09:00;73,2;173600000,00;0,75
23057;05/07/2023 11:15;73,04;142133333,33;0,56
23060;04/07/2023 08:00;15,04;4672000,00;1,98
23060;04/07/2023 12:00;15,68;4666666,67;2,06
23060;04/07/2023 16:00;16,88;11493333,33;2,14
23060;04/07/2023 20:00;18,56;18506666,67;1,98
23060;05/07/2023 06:15;26,96;58906666,67;1,93
23060;05/07/2023 10:30;32,72;76373333,33;1,92
23060;05/07/2023 14:15;40,24;90666666,67;1,79
23060;05/07/2023 18:15;50,48;104533333,33;1,56
23060;06/07/2023 06:00;70,64;168266666,67;0,98
23060;06/07/2023 07:00;71,28;163466666,67;0,9
23060;06/07/2023 08:00;71,76;140800000,00;0,87
23060;06/07/2023 10:30;74,32;167466666,67;0,79
23061;04/07/2023 08:00;17,84;5088000,00;2,03
23061;04/07/2023 12:00;18,4;4794666,67;2,07
23061;04/07/2023 16:00;19,52;12906666,67;1,95
23061;04/07/2023 20:00;21,2;22480000,00;1,87
23061;05/07/2023 06:15;30,96;65626666,67;2,48
23061;05/07/2023 10:30;39,44;100000000,00;1,75
23061;05/07/2023 14:15;47,44;94933333,33;1,54
23061;05/07/2023 18:15;56,4;112800000,00;1,27
23061;06/07/2023 06:00;73,2;139200000,00;0,7
23061;06/07/2023 07:00;75,04;145333333,33;0,68
23061;06/07/2023 08:00;73,36;145333333,33;0,55
23061;06/07/2023 10:30;75,52;157600000,00;0,42
P23273;05/07/2023 13:40;20,4;11813333,33;1,95
P23273;05/07/2023 17:40;20,48;11653333,33;1,87
P23273;06/07/2023 08:00;28,48;40533333,33;1,89
P23273;06/07/2023 12:00;32,88;55146666,67;1,62
P23273;06/07/2023 16:00;42,8;71680000,00;1,57
P23273;06/07/2023 20:00;50,24;73813333,33;1,45
P23273;07/07/2023 06:30;66,4;165333333,33;0,99
P23273;07/07/2023 08:30;67,52;173333333,33;0,83
P23273;07/07/2023 11:00;69,76;168533333,33;0,72
