LOTE;ORDEN_ENCADENAMIENTO;LOTE_PARENTAL;ID_BIOREACTOR;FECHA_INICIO;FECHA_FIN;VOLUMEN_INOCULO_UTILIZADO;TURBIDEZ_INICIO_CULTIVO;TURBIDEZ_FIN_CULTIVO;VIABILIDAD_FINAL_CULTIVO;ID_CENTRIFUGA;TURBIDEZ_CENTRIFUGACION_1;TURBIDEZ_CENTRIFUGACION_2;PRODUCTO_1;PRODUCTO_2;
24095;2;24089;14617;2024-06-03 12:34:00;2024-06-05 07:18:00;NA;14;78;204800000,00;14246;22;20;;;
24096;1;NA;14615;2024-06-11 07:34:00;2024-06-13 07:03:00;82;21;82;246400000,00;17825;42;35;;;
24097;3;24094;14617;2024-06-05 15:08:00;2024-06-07 09:03:00;NA;33;102;230400000,00;14246;34;31;;;
24098;1;NA;14616;2024-06-15 11:24:00;2024-06-17 10:46:00;82;22;87;240800000,00;12912;37;19;;;
24099;2;24098;13170;2024-06-17 14:33:00;2024-06-19 09:34:00;80;20;78;165600000,00;12912;30;19;;;
24100;3;24099;13170;2024-06-19 13:04:00;2024-06-21 07:51:00;80;21;84;216800000,00;12912;33;25;;;
24101;1;NA;13169;2024-06-29 07:58:00;2024-07-01 07:46:00;82;19;92;157600000,00;12912;32;23;;;
24103;1;NA;14615;2024-06-29 07:58:00;2024-07-01 07:49:00;82;19;85;172800000,00;14246;29;20;;;
24104;1;NA;14616;2024-07-02 08:32:00;2024-07-04 08:43:00;84;20;82;171200000,00;14246;31;21;;;
24105;1;NA;13170;2024-07-02 08:32:00;2024-07-04 08:39:00;84;19;85;173600000,00;17825;32;19;;;
24106;2;24101;13169;2024-07-01 11:14:00;2024-07-03 08:19:00;80;24;84;163200000,00;12912;32;26;;;
24107;2;24103;14615;2024-07-01 11:35:00;2024-07-03 08:37:00;80;22;87;151200000,00;14246;28;23;;;
24108;1;NA;14617;2024-07-06 08:00:00;2024-07-08 08:29:00;84;20;82;159200000,00;14246;30;15;;;
24109;3;24106;13169;2024-07-03 12:21:00;2024-07-05 08:23:00;80;24;94;196000000,00;12912;32;29;;;
24110;3;24107;14615;2024-07-03 12:25:00;2024-07-05 08:26:00;80;27;105;157600000,00;14246;34;28;;;
